 T/K  p/MPa  x1L  x1V  densityL/(kg/m**3)  densityV/(kg/m**3)  hL/(J/mol)  hV/(J/mol)  sL/(J/mol/K)  sV/(J/mol/K)  cpresL/(J/mol/K)  cpresV/(J/mol/K)
        337.20000000          9.96401837          0.52500000          0.97627074        790.87876839        304.15037000     -23310.82781646      -5291.63024543        -84.42454099        -49.59085107         49.56299764         92.90689150
        337.20000000         10.09796511          0.53750000          0.97552829        791.00850575        314.06108448     -22929.72116449      -5434.84111110        -83.83272479        -50.04155253         49.95592089         98.58596846
        337.20000000         10.22815684          0.55000000          0.97473075        791.03412003        324.11810886     -22548.97946805      -5579.55243312        -83.24227583        -50.49106247         50.38511442        104.32982403
        337.20000000         10.35466485          0.56250000          0.97387520        790.94719084        334.31502950     -22168.51101047      -5725.76263128        -82.65289166        -50.93945772         50.85340691        110.08652409
        337.20000000         10.47756022          0.57500000          0.97295856        790.73846995        344.64448730     -21788.21611173      -5873.47266611        -82.06424889        -51.38680173         51.36396145        115.79892654
        337.20000000         10.59691397          0.58750000          0.97197755        790.39777665        355.09843836     -21407.98610591      -6022.69034129        -81.47599999        -51.83315731         51.92032507        121.40631946
        337.20000000         10.71279725          0.60000000          0.97092866        789.91387669        365.66849869     -21027.70215732      -6173.43559719        -80.88776974        -52.27860162         52.52648723        126.84637237
        337.20000000         10.82528147          0.61250000          0.96980809        789.27434134        376.34636700     -20647.23388482      -6325.74677601        -80.29915101        -52.72324306         53.18694927        132.05723277
        337.20000000         10.93443848          0.62500000          0.96861166        788.46538272        387.12431353     -20266.43775618      -6479.68781275        -79.70969996        -53.16723975         53.90680702        136.97956731
        337.20000000         11.04034058          0.63750000          0.96733469        787.47166017        397.99571839     -19885.15520495      -6635.35629667        -79.11893032        -53.61081938         54.69184991        141.55834552
        337.20000000         11.14306045          0.65000000          0.96597189        786.27605119        408.95564044     -19503.21040945      -6792.89237471        -78.52630676        -54.05429988         55.54868008        145.74419535
        337.20000000         11.24267074          0.66250000          0.96451712        784.85937889        420.00139811     -19120.40765729      -6952.48853337        -77.93123686        -54.49811093         56.48485672        149.49421835
        337.20000000         11.33924328          0.67500000          0.96296320        783.20008531        431.13314506     -18736.52819683      -7114.40037700        -77.33306157        -54.94281626         57.50907163        152.77222323
        337.20000000         11.43284778          0.68750000          0.96130160        781.27383740        442.35443099     -18351.32644831      -7278.95869517        -76.73104373        -55.38913712         58.63136421        155.54840855
        337.20000000         11.52354982          0.70000000          0.95952207        779.05304790        453.67274110     -17964.52540866      -7446.58324351        -76.12435395        -55.83797751         59.86338627        157.79857970
        337.20000000         11.61140786          0.71250000          0.95761220        776.50628855        465.10001739     -17575.81103197      -7617.79893016        -75.51205339        -56.29045244         61.21873000        159.50302156
        337.20000000         11.69646901          0.72500000          0.95555682        773.59756527        476.65316878     -17184.82529616      -7793.25534337        -74.89307233        -56.74792066         62.71333692        160.64515896
        337.20000000         11.77876321          0.73750000          0.95333727        770.28541487        488.35459173     -16791.15756806      -7973.75108722        -74.26618347        -57.21202433         64.36601050        161.21013436
        337.20000000         11.85829525          0.75000000          0.95093041        766.52176889        500.23273484     -16394.33374099      -8160.26506212        -73.62996814        -57.68473933         66.19906243        161.18341321
        337.20000000         11.93503378          0.76250000          0.94830743        762.25050861        512.32267053     -15993.80241581      -8353.99625376        -72.98277315        -58.16843770         68.23913180        160.54949441
        337.20000000         12.00889651          0.77500000          0.94543202        757.40560798        524.66681302     -15588.91712036      -8556.41787848        -72.32265511        -58.66597277         70.51822689        159.29082682
        337.20000000         12.07972973          0.78750000          0.94225818        751.90871544        537.31568507     -15178.91312313      -8769.34920648        -71.64730748        -59.18079009         73.07505384        157.38697641
        337.20000000         12.14728012          0.80000000          0.93872686        745.66596280        550.32888096     -14762.87676972      -8995.05570867        -70.95396383        -59.71708160         75.95670894        154.81413765
        337.20000000         12.21115508          0.81250000          0.93476147        738.56368830        563.77612408     -14339.70427113      -9236.38820730        -70.23926711        -60.27999672         79.22082135        151.54507916
        337.20000000         12.27076640          0.82500000          0.93026113        730.46260787        577.73857206     -13908.04532617      -9496.98446173        -69.49909020        -60.87594620         82.93822186        147.54964312
        337.20000000         12.32524830          0.83750000          0.92509088        721.18971389        592.30987338     -13466.22437798      -9781.55742432        -68.72828391        -61.51302673         87.19615239        142.79606554
        337.20000000         12.37333634          0.85000000          0.91906650        710.52677768        607.59746564     -13012.12810902     -10096.33841849        -67.92031523        -62.20167228         92.10182338        137.25323684
        337.20000000         12.41318329          0.86250000          0.91193106        698.19361130        623.72250016     -12543.04019026     -10449.74546014        -67.06673286        -62.95561226         97.78558418        130.89451947
        337.20000000         12.44207194          0.87500000          0.90331692        683.82300339        640.81782853     -12055.39078249     -10853.45243691        -66.15635235        -63.79338801        104.40156289        123.70348447
        337.20000000         12.45594806          0.88750000          0.89271434        666.92179695        658.97022195     -11544.36094333     -11322.76774013        -65.17396030        -64.73808323        112.12020225        115.70496865
        337.20000016         12.45643685          0.89012233          0.89012233        662.99596239        662.99596239     -11434.19404907     -11433.60636435        -64.95913472        -64.95688620        113.85683582        113.89492254
