20768 TRCID	CASRN	Nist-Mod
16149	0	1 1 6 2 5 9 1 19 1 306
14002	103047990	1 1 6 2 5 9 10 78 2 79 1 195
12001	55000538	1 1 6 2 5 9 2 10 2 11 1 12
12002	55000549	1 1 6 2 5 9 2 10 2 11 1 12
14448	18373892	1 1 6 2 6 78 1 79
16633	0	1 1 6 2 7 78 1 79
10822	94611242	1 1 6 2 7 9 1 12 1 71 1 116 1 130
11670	2876440	1 1 6 2 7 9 2 10 1 12
11673	2876519	1 1 6 2 7 9 2 10 1 12
9649	2876586	1 1 6 2 7 9 2 10 1 178
32036	95164640	1 1 6 2 7 9 3 10 1 128 1 178
9653	2876655	1 1 6 2 7 9 3 10 1 22
9659	2876724	1 1 6 2 7 9 3 10 1 22
27390	103042859	1 1 6 2 7 9 4 10 3 12 2 78
10189	58601006	1 1 6 2 8 9 1 10 1 11 1 25 1 130
10128	50793890	1 1 6 2 8 9 1 10 1 25 1 116 1 130
10494	103749537	1 1 6 2 8 9 1 10 1 25 1 53 1 130
22569	52910788	1 1 6 2 8 9 1 10 1 25 1 57 1 130
3934	52709849	1 1 6 2 8 9 2 10 1 12 1 116
10201	60127380	1 1 6 2 8 9 2 10 1 24 1 25 1 130
21618	98609939	1 1 6 2 8 9 3 10 1 13
3915	52364735	1 1 6 2 8 9 3 10 1 25 1 116
6996	96667888	1 1 6 2 9 78 3 79
16178	0	1 1 6 2 9 9 2 10 1 12
6331	933119	1 1 6 78 1 202
19149	6713480	1 1 6 78 1 301
3403	4126787	1 1 6 78 1 79
8495	0	1 1 6 78 1 79 1 80
9068	1488795	1 1 6 78 1 79 1 80
16841	0	1 1 6 78 1 79 1 80
17634	3673754	1 1 6 78 1 79 1 80
22456	0	1 1 6 78 1 79 1 80 1 201
3265	3761942	1 1 6 78 1 80 1 82
16671	0	1 1 6 78 1 85
18507	0	1 1 6 78 3 79
27732	19774186	1 1 6 78 3 79
28131	28436046	1 1 6 78 3 79
28132	53927256	1 1 6 78 3 79
28133	56579476	1 1 6 78 3 79
28134	56579534	1 1 6 78 3 79
28135	56579498	1 1 6 78 3 79
28137	19774197	1 1 6 78 3 79
28138	28436035	1 1 6 78 3 79
28139	19774164	1 1 6 78 3 79
28140	19774175	1 1 6 78 3 79
28141	53860621	1 1 6 78 3 79
28142	56579443	1 1 6 78 3 79
28409	0	1 1 6 78 3 79
28410	56579487	1 1 6 78 3 79
1713	1660044	1 1 6 78 3 79 1 302
5804	768912	1 1 6 78 3 79 1 80
26753	28375862	1 1 6 78 7 79 1 80
26755	26460764	1 1 6 78 7 79 1 80
4636	603769	1 1 6 9 1 10 1 307
6227	91634	1 1 6 9 1 10 1 39
22611	0	1 1 6 9 1 10 2 11 1 13 2 17
11403	17057920	1 1 6 9 2 10 1 11 1 12
11404	17057931	1 1 6 9 2 10 1 11 1 12
11407	17059539	1 1 6 9 2 10 1 11 1 12
11606	2451005	1 1 6 9 2 10 1 11 1 12
12336	7372863	1 1 6 9 2 10 1 11 1 12
14392	17059551	1 1 6 9 2 10 1 11 1 12
14630	25607163	1 1 6 9 2 10 1 11 1 12
14658	27424879	1 1 6 9 2 10 1 11 1 12
14726	31032914	1 1 6 9 2 10 1 11 1 12
14727	31032925	1 1 6 9 2 10 1 11 1 12
14728	31032947	1 1 6 9 2 10 1 11 1 12
19997	28418862	1 1 6 9 2 10 1 11 1 178
31479	5156832	1 1 6 9 2 10 1 11 1 178
31480	67757646	1 1 6 9 2 10 1 11 1 178
22420	0	1 1 6 9 2 10 1 12 4 78 1 79 1 195
14541	21433910	1 1 6 9 2 10 1 160
14884	39517834	1 1 6 9 2 10 1 160
4296	574196	1 1 6 9 2 10 1 17 1 178
5511	711795	1 1 6 9 2 10 1 17 1 178
10106	40932636	1 1 6 9 2 10 1 18 1 106
28681	108842597	1 1 6 9 2 10 2 12 1 17 1 178
10120	42924538	1 1 6 9 3 10 1 12 1 19 1 24
31252	138112762	1 1 6 9 3 10 1 12 1 24 1 100
11134	22204531	1 1 6 9 3 10 1 13 1 24 1 42
22010	23981808	1 1 6 9 3 10 1 13 1 24 1 42
24113	3900456	1 1 6 9 3 10 1 24 1 178
29856	10236472	1 1 6 9 3 10 2 17 4 26 1 78 2 79 1 81 1 132 1 178 2 206
15938	0	1 1 6 9 4 11 1 12 1 13
33131	1807447477	1 1 6 9 5 10 3 24 1 25 1 125 1 162 1 178 1 202
16454	6225087	1 1 7 2 1 101
2451	2404446	1 1 7 2 1 107
173	10020436	1 1 7 2 1 131
17706	54581758	1 1 7 2 1 135 1 205
792	111875	1 1 7 2 1 14
3091	34957738	1 1 7 2 1 14 1 22
21478	91009562	1 1 7 2 1 14 1 22
19926	35884425	1 1 7 2 1 14 2 25
26073	62127428	1 1 7 2 1 146
1137	124196	1 1 7 2 1 20
808	1119864	1 1 7 2 1 205
839	112141	1 1 7 2 1 21
33293	3065518	1 1 7 2 1 22 1 205
32699	14064198	1 1 7 2 1 22 1 24
5965	818882	1 1 7 2 1 22 1 42
14434	17961103	1 1 7 2 1 22 1 42
30953	100314883	1 1 7 2 1 22 1 65
866	112323	1 1 7 2 1 23
12435	929566	1 1 7 2 1 24
14912	41367991	1 1 7 2 1 24 1 25
13313	25961879	1 1 7 2 1 25 1 131
13143	10438945	1 1 7 2 1 25 1 205
848	112209	1 1 7 2 1 29
17438	13686969	1 1 7 2 1 3 1 14 1 81
17528	2430731	1 1 7 2 1 3 1 14 1 81
17668	4066788	1 1 7 2 1 3 1 14 1 81
17681	4469845	1 1 7 2 1 3 1 14 1 81
21239	23433070	1 1 7 2 1 3 1 14 1 81
29464	23323377	1 1 7 2 1 3 1 32 1 81 1 205 1 206
17929	90724917	1 1 7 2 1 3 2 14
18133	0	1 1 7 2 1 3 2 5
13008	73642918	1 1 7 2 1 3 2 64
2486	2439545	1 1 7 2 1 31
16295	0	1 1 7 2 1 31 1 102
15611	929317	1 1 7 2 1 32 1 205
14709	30249297	1 1 7 2 1 32 5 78 1 79
7236	1975786	1 1 7 2 1 41
821	112050	1 1 7 2 1 42
2508	2473010	1 1 7 2 1 44
16420	0	1 1 7 2 1 44 1 45
24233	821885	1 1 7 2 1 48
6089	872059	1 1 7 2 1 5
783	111819	1 1 7 2 1 5 1 22
2980	3295974	1 1 7 2 1 5 1 25
13956	10160482	1 1 7 2 1 5 1 25
18743	3382603	1 1 7 2 1 5 1 6
16331	0	1 1 7 2 1 5 1 7
7924	2499594	1 1 7 2 1 5 1 77
14577	23039012	1 1 7 2 1 5 2 22
22438	46843327	1 1 7 2 1 5 4 9 1 10 1 12
11031	115181130	1 1 7 2 1 5 8 9 2 10 2 12
14050	1071847	1 1 7 2 1 51
14554	2216219	1 1 7 2 1 55
19197	593259	1 1 7 2 1 6 1 42
31487	2370710	1 1 7 2 1 6 1 42 1 77
8932	14304304	1 1 7 2 1 6 1 64
18741	33206621	1 1 7 2 1 6 5 9 1 10
1418	1455216	1 1 7 2 1 60
5118	629276	1 1 7 2 1 63
785	111831	1 1 7 2 1 64
8154	764932	1 1 7 2 1 65
31492	3133162	1 1 7 2 1 7 1 22 1 42
11698	3017672	1 1 7 2 1 7 1 64
15044	55757341	1 1 7 2 1 74
11617	2561219	1 1 7 2 1 74 1 77
15549	90499313	1 1 7 2 1 74 11 75
26604	69125797	1 1 7 2 1 74 3 75
17313	812964	1 1 7 2 1 74 4 75 1 77
31953	133331778	1 1 7 2 1 74 5 75
5276	65016628	1 1 7 2 1 9 1 10 1 104
26177	118799181	1 1 7 2 1 9 1 10 1 196
12319	7225652	1 1 7 2 10 78 7 79
14398	1726132	1 1 7 2 10 9 1 10 1 13
18490	0	1 1 7 2 11 78 7 79
21507	1033960972	1 1 7 2 11 78 7 79
27376	66292066	1 1 7 2 11 78 7 79
27387	56247688	1 1 7 2 11 78 7 79
14157	122120041	1 1 7 2 13 9 4 10 1 12
6717	25961891	1 1 7 2 2 25 1 131
30158	33956499	1 1 7 2 2 6 1 14
29339	2305057	1 1 7 2 2 78 1 79 1 126
6133	880364	1 1 7 2 2 9 1 105
19815	40089927	1 1 7 2 2 9 1 12 1 37
12023	55255588	1 1 7 2 2 9 2 11 1 12 1 13 2 78
27375	95258358	1 1 7 2 2 9 3 12 1 13 6 78 2 79
17290	58821300	1 1 7 2 3 25 1 131
11934	52315443	1 1 7 2 3 78 1 202
25531	0	1 1 7 2 3 78 1 79
32015	345259087	1 1 7 2 3 9 1 10 1 64 1 105 1 106
15291	66359657	1 1 7 2 3 9 3 12 2 78
11438	1786943	1 1 7 2 4 25 1 131
19024	0	1 1 7 2 4 6 5 9 1 12
11337	15232878	1 1 7 2 4 78 1 202
11443	1795206	1 1 7 2 4 78 1 79
18584	0	1 1 7 2 4 9 1 10 1 13 1 78 1 201
1612	15872432	1 1 7 2 4 9 1 10 1 25 1 124
32016	93164739	1 1 7 2 4 9 1 105 1 106
11684	29138918	1 1 7 2 4 9 1 12 1 13 2 78
365	104405	1 1 7 2 4 9 1 12 1 17
11294	136834	1 1 7 2 4 9 1 12 1 17
16308	0	1 1 7 2 4 9 1 12 1 36
26172	101171715	1 1 7 2 4 9 1 35
14839	37139212	1 1 7 2 4 9 1 36 1 128
17823	66553104	1 1 7 2 4 9 2 12 1 78 1 79
1879	1795159	1 1 7 2 5 78 1 79
13924	5770047	1 1 7 2 5 78 1 80 1 82
14833	36588315	1 1 7 2 5 9 1 10 1 25
570	1081772	1 1 7 2 5 9 1 12
14441	18208634	1 1 7 2 6 78 1 79
13977	10275668	1 1 7 2 7 78 3 79
18031	95278301	1 1 7 2 7 78 3 79
11628	26438266	1 1 7 2 7 9 2 10 1 12
12191	61886677	1 1 7 2 7 9 2 10 1 12
7320	52709850	1 1 7 2 8 9 2 10 1 12 1 116
21377	266370789	1 1 7 2 8 9 4 10 1 22 1 25 1 65
15647	94873866	1 1 7 2 9 78 3 79
1483	1502381	1 1 7 78 1 79
16844	0	1 1 7 78 1 79 1 80
26290	824168	1 1 7 78 1 79 1 80
27731	42608344	1 1 7 78 1 79 1 80
4449	59123410	1 1 7 78 1 80 1 82
13045	2958750	1 1 7 78 3 79
13046	2958761	1 1 7 78 3 79
16846	0	1 1 7 78 3 79
18510	0	1 1 7 78 3 79
26423	880060719	1 1 7 78 3 79
27358	14398686	1 1 7 78 3 79
27359	14398675	1 1 7 78 3 79
27360	4683947	1 1 7 78 3 79
27361	14398722	1 1 7 78 3 79
27362	14398711	1 1 7 78 3 79
27363	4683958	1 1 7 78 3 79
27518	721934787	1 1 7 78 3 79
27640	877605215	1 1 7 78 3 79
27780	935808	1 1 7 78 3 79
27781	935819	1 1 7 78 3 79
10423	94611264	1 1 7 9 1 10 1 25 1 71 1 116 1 130
907	1127760	1 1 7 9 2 10 1 12
6369	939275	1 1 7 9 2 10 1 12
7417	84515	1 1 7 9 2 10 1 12 2 178
2821	3007918	1 1 7 9 2 10 1 128
2822	3007974	1 1 7 9 2 10 1 128
3365	40295805	1 1 7 9 2 10 1 13 1 81
22328	27544189	1 1 7 9 2 10 1 13 1 81
8217	941980	1 1 7 9 2 10 1 178
21819	93083	1 1 7 9 2 10 1 178
22090	0	1 1 7 9 2 10 1 57 1 178 1 307
32018	5447756	1 1 7 9 3 10 1 128 1 178
2736	2876780	1 1 7 9 3 10 1 22
9658	2876713	1 1 7 9 3 10 1 22
112	5328018	1 1 7 9 3 10 1 25
6321	93185	1 1 7 9 3 10 1 25
16871	0	1 1 7 9 3 10 4 78 1 203
1397	14433762	1 1 8 2 1 101
10830	126835732	1 1 8 2 1 135 1 205
1376	143088	1 1 8 2 1 14
2617	2640940	1 1 8 2 1 14 1 22
25405	890090989	1 1 8 2 1 14 3 25
26074	62127439	1 1 8 2 1 146
865	112312	1 1 8 2 1 20
1381	143135	1 1 8 2 1 21
12726	2277238	1 1 8 2 1 22 1 205
14436	17961147	1 1 8 2 1 22 1 42
31485	74295866	1 1 8 2 1 22 1 42
6878	5451923	1 1 8 2 1 23
12328	7289512	1 1 8 2 1 24
6685	19327378	1 1 8 2 1 25 1 131
17780	62908423	1 1 8 2 1 25 1 205
2105	2016571	1 1 8 2 1 29
17423	13175332	1 1 8 2 1 3 1 14 1 81
17637	37810949	1 1 8 2 1 3 1 14 1 81
17671	4203489	1 1 8 2 1 3 1 14 1 81
29690	0	1 1 8 2 1 3 1 24 1 81
18839	97029806	1 1 8 2 1 3 1 6 1 14 1 81
30538	412009393	1 1 8 2 1 3 1 81 1 102 1 205 1 206
16148	0	1 1 8 2 1 3 2 42
16009	0	1 1 8 2 1 3 2 5
13994	102942654	1 1 8 2 1 3 2 64
6792	39093271	1 1 8 2 1 31
21729	126835641	1 1 8 2 1 32 1 205
14710	30249300	1 1 8 2 1 32 5 78 1 79
14017	103279578	1 1 8 2 1 4 15 78 3 79
21	2244077	1 1 8 2 1 41
3004	334485	1 1 8 2 1 42
185	1002693	1 1 8 2 1 44
14737	3162627	1 1 8 2 1 48
5978	821954	1 1 8 2 1 5
31223	692864	1 1 8 2 1 5 1 22
5771	765059	1 1 8 2 1 5 1 25
2630	2664553	1 1 8 2 1 5 1 77
22439	46926594	1 1 8 2 1 5 4 9 1 10 1 12
15142	62108569	1 1 8 2 1 51
3619	4609874	1 1 8 2 1 55
1379	143102	1 1 8 2 1 60
3479	4282422	1 1 8 2 1 63
5416	693583	1 1 8 2 1 64
2344	2243983	1 1 8 2 1 65
31491	56277851	1 1 8 2 1 7 1 42 1 77
25891	26288164	1 1 8 2 1 74
21952	2264393	1 1 8 2 1 74 4 75 1 77
12087	56247768	1 1 8 2 1 8 14 9 6 10
26187	130953081	1 1 8 2 1 9 1 10 1 196
11583	23220259	1 1 8 2 1 92
6882	55489593	1 1 8 2 2 25 1 131
22567	5129919	1 1 8 2 2 25 1 26 1 27 2 79
26126	79639046	1 1 8 2 2 9 1 197
19958	39619697	1 1 8 2 3 25 1 131
26182	126832040	1 1 8 2 3 78 1 79
12088	56247940	1 1 8 2 3 9 2 10 5 12 2 78
16711	0	1 1 8 2 3 9 2 11 1 12
15290	66359624	1 1 8 2 3 9 3 12 1 78
12261	66455694	1 1 8 2 3 9 3 12 2 78
15509	86674966	1 1 8 2 4 25 1 131
25381	2882986	1 1 8 2 4 78 1 79
4153	5519233	1 1 8 2 4 9 1 10 1 25 1 124
16367	0	1 1 8 2 4 9 1 11 1 12
29845	21469318	1 1 8 2 4 9 1 12 1 17 1 100
25986	50966648	1 1 8 2 4 9 1 35
8254	10417944	1 1 8 2 5 6 1 42
45	2883025	1 1 8 2 5 78 1 79
11758	35021671	1 1 8 2 5 9 1 10 1 25
375	104723	1 1 8 2 5 9 1 12
22849	0	1 1 8 2 5 9 1 187
3025	33689713	1 1 8 2 5 9 1 77 1 306
8308	6217545	1 1 8 2 6 6 1 42
14442	18208645	1 1 8 2 6 78 1 79
22277	0	1 1 8 2 7 78 1 79
11308	14188795	1 1 8 2 7 9 2 10 1 12
11629	26438277	1 1 8 2 7 9 2 10 1 12
18491	906427870	1 1 8 2 7 9 3 12 2 13
7355	59454352	1 1 8 2 8 9 2 10 1 12 1 116
10271	70247255	1 1 8 2 8 9 3 10 1 25 1 116
6993	95135878	1 1 8 2 9 78 3 79
17322	0	1 1 8 2 9 9 2 10 1 12
15468	800237	1 1 8 2 9 9 4 10 1 12
12078	55682901	1 1 8 2 9 9 6 10 1 12
8771	0	1 1 8 78 1 202
8772	0	1 1 8 78 1 202
16949	0	1 1 8 78 1 202 1 203
15515	874997	1 1 8 78 1 79
8460	2547275	1 1 8 78 1 79 1 80
21983	6596970	1 1 8 78 1 79 1 80
23104	2547264	1 1 8 78 1 79 1 80
27696	61208955	1 1 8 78 1 79 1 80
14890	40001614	1 1 8 78 1 80 1 82
13502	5405903	1 1 8 78 3 79
31716	1433961353	1 1 8 78 3 79 1 165
10414	92431759	1 1 8 78 5 79
16797	0	1 1 8 9 1 10 1 11 2 12
10756	13684634	1 1 8 9 1 10 1 11 2 77 2 306
13155	1151140	1 1 8 9 1 10 1 12 1 124 1 178
11066	117687599	1 1 8 9 1 10 1 12 1 24 1 122 1 128
15642	94331972	1 1 8 9 1 10 1 12 1 38 1 53 1 178 1 306
32054	98741265	1 1 8 9 1 10 1 12 1 38 1 53 1 178 1 306
11069	117687624	1 1 8 9 1 10 1 12 1 64 1 122 1 128
9057	0	1 1 8 9 1 10 1 12 1 64 1 178 1 306
30532	2081085	1 1 8 9 1 10 1 13 2 17
961	117271	1 1 8 9 1 10 1 13 2 53 1 56
11957	5359386	1 1 8 9 1 10 1 13 2 53 1 77
28766	69632311	1 1 8 9 1 10 1 33 2 57 1 178
28767	69632322	1 1 8 9 1 10 1 33 2 57 1 178
16961	0	1 1 8 9 1 10 1 39
3958	530450	1 1 8 9 1 10 2 11 1 13
6755	33268483	1 1 8 9 1 10 2 11 1 13
7691	6165522	1 1 8 9 1 10 2 11 1 13
13791	6165511	1 1 8 9 1 10 2 11 1 13
28357	94573543	1 1 8 9 1 10 2 11 1 13
28358	89881301	1 1 8 9 1 10 2 11 1 13
28359	5080104	1 1 8 9 1 10 2 11 1 13
28360	94573532	1 1 8 9 1 10 2 11 1 13
11065	117687588	1 1 8 9 1 11 1 12 1 122 1 128
11071	117687646	1 1 8 9 1 12 1 122 1 127 1 128
32817	31842010	1 1 8 9 1 12 1 13 1 42 1 178 1 307
6857	50500	1 1 8 9 1 12 1 13 5 78 3 79 1 80 1 81 1 130
11067	117687602	1 1 8 9 1 12 1 36 1 122 1 128
11068	117687613	1 1 8 9 1 12 1 53 1 122 1 128
11070	117687635	1 1 8 9 1 12 1 57 1 122 1 128
16814	0	1 1 8 9 2 10 1 11 1 12
17317	91363507	1 1 8 9 2 10 1 11 1 12
4394	58743752	1 1 8 9 2 10 1 12 1 116
15656	95813722	1 1 8 9 2 10 1 12 1 38 1 64 1 178 1 306
32596	95813711	1 1 8 9 2 10 1 12 1 38 1 64 1 178 1 306
15731	95813733	1 1 8 9 2 10 1 12 1 39 1 64 1 82 1 178 1 306
33075	638995332	1 1 8 9 2 10 1 127 1 178
13710	5104494	1 1 8 9 2 10 1 13 1 42 1 71
31396	51543409	1 1 8 9 2 10 1 13 1 42 1 71
33378	719540	1 1 8 9 2 10 1 178 1 307
31131	1207723	1 1 8 9 2 10 1 187 1 307
15936	0	1 1 8 9 2 11 1 12 1 13
10805	58743796	1 1 8 9 3 10 1 12 1 64
2536	2523377	1 1 8 9 3 10 1 13
10673	160731895	1 1 8 9 3 10 1 13 1 19 1 78 1 302
10670	160731862	1 1 8 9 3 10 1 13 1 19 2 78 1 302
1449	1484124	1 1 8 9 3 10 1 307
16340	0	1 1 8 9 3 10 1 64 1 178
28543	518172	1 1 8 9 3 10 1 78 1 178 1 191 1 306 1 307
5306	6626648	1 1 8 9 3 10 2 202 1 307
22505	0	1 1 8 9 7 10 1 12 1 78 1 202
16455	0	1 1 9 2 1 101
2725	2855198	1 1 9 2 1 107
6701	23238406	1 1 9 2 1 131
17534	24724309	1 1 9 2 1 135 1 205
863	112301	1 1 9 2 1 14
11611	24724070	1 1 9 2 1 14 1 22
26075	62127440	1 1 9 2 1 146
879	112447	1 1 9 2 1 20
7612	1119875	1 1 9 2 1 205
843	112174	1 1 9 2 1 21
14435	17961114	1 1 9 2 1 22 1 42
10276	71194304	1 1 9 2 1 22 1 44
30943	26509604	1 1 9 2 1 22 1 65
11979	5451525	1 1 9 2 1 23
5563	7289523	1 1 9 2 1 24
22846	0	1 1 9 2 1 25 1 131
21836	10430974	1 1 9 2 1 25 1 205
5571	7307553	1 1 9 2 1 29
13430	4272020	1 1 9 2 1 3 1 14 1 81
13673	6071325	1 1 9 2 1 3 1 14 1 81
17439	13686981	1 1 9 2 1 3 1 14 1 81
17451	144986721	1 1 9 2 1 3 1 74 8 75 1 81
12538	7225709	1 1 9 2 1 3 10 9 2 12
16927	0	1 1 9 2 1 3 10 9 2 12
12058	55373961	1 1 9 2 1 3 14 78 6 79
3030	3376485	1 1 9 2 1 3 2 14 1 22
18135	0	1 1 9 2 1 3 2 5
15425	7516827	1 1 9 2 1 31
16296	0	1 1 9 2 1 31 1 102
14138	1191453	1 1 9 2 1 32 1 205
14020	103403685	1 1 9 2 1 4 15 78 3 79
2482	2437254	1 1 9 2 1 41
869	112378	1 1 9 2 1 42
35	2473032	1 1 9 2 1 44
24235	822015	1 1 9 2 1 48
876	112414	1 1 9 2 1 5
31224	94230805	1 1 9 2 1 5 1 22
18905	0	1 1 9 2 1 5 1 6
15998	0	1 1 9 2 1 5 1 7
2244	2156969	1 1 9 2 1 5 1 77
14879	3922256	1 1 9 2 1 51
5834	7774825	1 1 9 2 1 6 1 20
31705	28079041	1 1 9 2 1 6 1 21
18795	65560545	1 1 9 2 1 6 1 64
25669	5332525	1 1 9 2 1 60
2151	2050773	1 1 9 2 1 63
862	112298	1 1 9 2 1 64
5769	765037	1 1 9 2 1 65
26058	62126970	1 1 9 2 1 74
15620	93454729	1 1 9 2 1 74 11 75
22608	0	1 1 9 2 1 74 2 75 1 77
14278	138472761	1 1 9 2 1 74 7 75
10393	90499299	1 1 9 2 1 74 9 75
14323	1530296	1 1 9 2 1 8 10 9 2 10
26178	120394630	1 1 9 2 1 9 1 10 1 196
16453	0	1 1 9 2 1 92
14154	121676899	1 1 9 2 13 9 4 10 1 12
21567	19327389	1 1 9 2 2 25 1 131
31708	54664981	1 1 9 2 2 6 1 21
15079	5794398	1 1 9 2 2 78 1 79
11612	24769399	1 1 9 2 2 9 1 105
26135	89789571	1 1 9 2 2 9 1 197
6731	28115755	1 1 9 2 3 25 1 131
15157	62184752	1 1 9 2 3 78 1 202
25532	0	1 1 9 2 3 78 1 79
8373	86674955	1 1 9 2 4 25 1 131
1884	1795217	1 1 9 2 4 78 1 79
15251	66291994	1 1 9 2 4 9 1 10 1 13 1 201
1613	15872443	1 1 9 2 4 9 1 10 1 25 1 124
15253	66292044	1 1 9 2 4 9 1 12 1 13 1 78
16309	0	1 1 9 2 4 9 1 12 1 36
13582	66292055	1 1 9 2 4 9 2 12 1 79
1880	1795160	1 1 9 2 5 78 1 79
5341	6742547	1 1 9 2 5 9 1 12
31680	140250	1 1 9 2 5 9 1 12 1 22
14443	18208656	1 1 9 2 6 78 1 79
12008	55044343	1 1 9 2 6 78 3 79
12878	55044354	1 1 9 2 6 78 3 79
16634	0	1 1 9 2 7 78 1 79
11997	54964840	1 1 9 2 7 78 3 79
12324	7225710	1 1 9 2 7 9 2 10 1 12
15134	61886688	1 1 9 2 7 9 2 10 1 12
8127	65860744	1 1 9 2 8 9 2 10 1 12 1 116
12021	55191429	1 1 9 2 9 78 7 79
12881	55191418	1 1 9 2 9 78 7 79
18489	0	1 1 9 2 9 78 7 79
15432	76154148	1 1 9 78 1 80 1 82
5309	66324478	1 1 9 78 3 79
17591	29460886	1 1 9 78 3 79
23089	27348170	1 1 9 78 3 79 1 165
26343	27348192	1 1 9 78 3 79 1 165
17636	3717688	1 1 9 9 1 10 1 11 1 13
16258	0	1 1 9 9 1 10 1 12 1 13 1 81
18183	0	1 1 9 9 1 10 1 12 1 13 1 81
6678	18220901	1 1 9 9 1 10 1 12 1 178
22621	52376439	1 1 9 9 1 10 1 12 2 78 1 195
2298	22071154	1 1 9 9 1 10 1 13 1 42 1 178
25416	13313456	1 1 9 9 1 10 1 187 1 306
31922	1260253357	1 1 9 9 1 10 1 32 2 178 1 203
2705	28122250	1 1 9 9 1 10 2 12
4875	620859	1 1 9 9 1 10 2 12
11655	28122249	1 1 9 9 1 10 2 12
10172	56571790	1 1 9 9 1 12 1 122 1 128
31923	0	1 1 9 9 1 12 1 32 2 178 1 203
1899	1812517	1 1 9 9 2 10 1 12
4278	5707448	1 1 9 9 2 10 1 12
12104	5668939	1 1 9 9 2 10 1 12
18151	0	1 1 9 9 2 10 1 13 1 24
8722	0	1 1 9 9 2 10 1 13 1 78 1 202
15387	71203402	1 1 9 9 2 10 1 19 1 65 7 78 4 79 1 80 1 130 1 202
6653	162011907	1 1 9 9 2 10 1 78 1 122 1 126 1 203
30703	7439158	1 1 9 9 3 12
3909	52251715	1 1 9 9 4 10 1 12
11773	3674746	1 1 9 9 4 10 1 12
11774	3674757	1 1 9 9 4 10 1 12
12150	605834	1 1 9 9 4 10 1 12
15249	66291358	1 1 9 9 4 10 1 12
15250	66291369	1 1 9 9 4 10 1 12
6668	17088221	1 1 9 9 6 10 1 12
2959	3264219	1 1 9 9 6 10 1 178
2552	2539175	1 10 1 17 1 24 4 53
10131	50903101	1 10 1 24 2 53 3 57
9319	389402	1 10 1 24 5 71
6009	827156	1 10 1 63 5 71
7078	344047	1 10 1 64 5 71
10408	92367027	1 10 5 57 1 64
3509	434640	1 10 5 71 1 74
27677	23559366	1 109 2 206
26667	84432575	1 11 1 36 4 57
27550	84432564	1 11 1 36 4 57
27551	84432531	1 11 1 36 4 57
26275	73334040	1 11 2 36 3 57
13649	877112	1 11 5 53
10296	73334006	1 11 5 57
5811	771562	1 11 5 71
9226	77792	1 110 1 201
8336	616386	1 112
8904	96491	1 113
4962	624839	1 117
24273	1558674	1 121
7787	108316	1 121 1 201
22687	5265509	1 125 1 188
27521	142085	1 125 2 201
3798	504314	1 126 2 201
19827	3615563	1 14 1 19 1 205 1 206
25438	57487	1 14 1 19 1 205 1 206
25439	87796	1 14 1 19 1 205 1 206
25440	30237264	1 14 1 19 1 205 1 206
22011	7158705	1 14 1 19 2 79 1 81 2 132 2 206
30793	107164	1 14 1 41
25544	0	1 143 1 201
24021	24270664	1 143 2 146
24231	812044	1 145 1 146
5660	75456	1 147
5679	75718	1 148
5661	75467	1 149
5350	67561	1 15
5681	75729	1 150
5682	75730	1 151
5822	7732185	1 16
6130	87865	1 17 5 53
10723	322765695	1 17 5 57
5813	771619	1 17 5 71
7479	13597734	1 170 1 174
1165	127184	1 179
22134	1534083	1 18 1 134
5904	78988	1 18 1 20
31522	7512176	1 18 1 20 1 33 1 205 1 206
28992	616911	1 18 1 33 1 42 1 60
2295	22047252	1 18 1 37 1 38
1164	127173	1 18 1 42
297	10230689	1 18 1 55
3827	507028	1 18 1 63
3826	506967	1 18 1 64
26885	24847469	1 18 2 78 1 92 1 191
27485	19701850	1 18 2 78 1 92 1 191
6328	932661	1 18 4 78 1 202
2842	3031730	1 181
2941	32264872	1 19 1 201
33006	6704310	1 19 1 25
31675	22929528	1 19 1 27
22747	29943428	1 19 1 27 1 78
25667	5009278	1 19 1 78
1111	123568	1 19 1 78 1 125
188	1003049	1 19 1 78 1 135
190	1003107	1 19 1 78 1 135
6301	930303	1 19 1 78 1 201
32984	14320377	1 19 1 78 1 201
24499	1121079	1 19 1 78 1 86
6016	830137	1 19 10 78
6022	832100	1 19 11 78
3778	502727	1 19 13 78
8481	74244647	1 19 13 78 1 201
3197	3661776	1 19 15 78
26732	24599573	1 19 2 201
30145	328427	1 19 2 42
991	1191953	1 19 2 78
846	1121897	1 19 2 78 1 125
515	1072726	1 19 2 78 1 135
1999	19090030	1 19 2 78 1 135
1401	1445734	1 19 2 78 1 189
3389	4096348	1 19 2 78 1 201
6307	930687	1 19 2 78 1 201
1041	120923	1 19 3 78
24627	51007524	1 19 3 78 1 201 2 202
615	108941	1 19 4 78
26231	29365795	1 19 4 78 2 79
26653	19915118	1 19 4 78 2 79
3773	502421	1 19 5 78
6590	5689043	1 19 5 78 2 79
26352	16484176	1 19 5 78 2 79
3775	502498	1 19 6 78
5378	6837247	1 19 6 78 1 191
5997	825252	1 19 6 78 1 203
3688	4832171	1 19 6 78 2 79
26313	1579211	1 19 6 78 2 79
26314	16021082	1 19 6 78 2 79
3011	3350309	1 19 7 78
26434	519028	1 19 7 78 2 79 2 191
1482	1502063	1 19 8 78
256	1011127	1 19 8 78 1 203
6127	878137	1 19 9 78
