253	q	EOK(K)	 b(cc/	k10	k11	KadNm3	eDon	eAcc	nDegree	#eDs	#eAs	idCas	Name
2706	3.2724	206.15	65.419	-0.7	2	0.001	730	1470	1	1	1	111262	n-HEXYLAMINE                  
2707	3.5281	209.27	73.946	-0.7	2	0.001	730	1470	1	1	1	111682	n-HEPTYLAMINE                 
2708	3.9949	208.11	80.869	-0.7	2	0.001	730	1470	1	1	1	111864	n-OCTYLAMINE                  
2709	4.5249	207.49	87.462	-0.7	2	0.001	730	1470	1	1	1	112209	n-NONYLAMINE                  
2710	4.7434	209.57	95.242	-0.7	2	0.001	730	1470	1	1	1	2016571	n-DECYLAMINE                  
2724	3.4874	243.77	65.56	-0.7	2	0.001	730	1470	1	1	1	578541	o-ETHYLANILINE                
2725	3.9353	260.37	50.435	-0.7	2	0.001	730	1470	1	1	1	95545	o-PHENYLENEDIAMINE            
2727	3.834	277.02	53.659	-0.7	2	0.001	730	1470	1	1	1	108452	m-PHENYLENEDIAMINE            
2728	4.5186	200.47	92.068	-0.7	2	0.0004	1010	1010	1	1	1	4062606	NN'-DI-tert-BUTYLETHYLENEDIAMI
2729	2.5491	224.64	48.584	-0.7	2	0.001	730	1470	1	1	1	1003038	CYCLOPENTYLAMINE              
2731	3.0086	226.67	64.966	-0.7	2	0.0004	1010	1010	1	1	1	100607	N-METHYLCYCLOHEXYLAMINE       
2739	3.209	198.09	59.851	-0.7	2	0.0004	1010	1010	1	1	1	124027	DIALLYLAMINE                  
2750	3.8246	267.74	51.893	-0.7	2	0.001	730	1470	1	1	1	106503	p-PHENYLENEDIAMINE            
2752	3.2239	226.41	41.28	-0.7	2	0.0008	1010	1010	1	1	1	110850	PIPERAZINE                    
2766	2.4657	287.6	43.07	-0.7	2	0.0004	1010	1010	1	1	1	288131	PYRAZOLE                      
2783	1.1437	524.46	141.616	-0.7	2	0.001	730	1470	1	1	1	122667	HYDRAZOBENZENE                
2784	3.0204	287.68	66.841	-0.7	2	0.0004	1010	1010	1	1	1	120729	INDOLE                        
2786	4.469	282.1	96.633	-0.7	2	0.001	730	1470	1	1	1	60093	p-AMINOAZOBENZENE             
2787	2.4056	343.06	102.758	-0.7	2	0.001	730	1470	1	1	1	92671	p-AMINODIPHENYL               
2789	3.6804	306.75	94.077	-0.7	2	0.0004	1010	1010	1	1	1	86748	DIBENZOPYRROLE                
2851	1.3724	331.75	31.665	-0.7	2	0.001	3300	3300	1	1	1	75127	FORMAMIDE                     
2852	3.0793	260.1	46.536	-0.7	2	0.0008	1420	780	1	1	1	123397	N-METHYLFORMAMIDE             
2853	2.8761	279.47	43.009	-0.7	2	0.0008	880	2640	1	1	1	60355	ACETAMIDE                     
2855	3.0388	215.65	44.815	-0.7	2	0.001	1280	3960	1	1	1	98000	FURFURYLALCOHOL               
2870	2.5549	327.64	55.817	-0.7	2	0.0004	400	6200	1	1	1	123568	SUCCINIMIDE                   
2876	1.3394	273.33	73.057	-0.7	2	0.001	1280	3960	1	1	1	1589475	2-METHOXYPROPANOL-1           
2878	2.4218	314.49	65.586	-0.7	2	0.001	400	6200	1	1	1	55210	BENZAMIDE                     
2879	3.2915	243.59	75.777	-0.7	2	0.001	540	1660	1	1	1	7775384	alpha-METHYLBENZYLALCOHOLF    
2885	3.6698	250.75	55.759	-0.7	2	0.001	540	1660	1	1	1	2628173	4-HYDROXYSTYRENE              
2892	3.0975	242.81	48.926	-0.7	2	0.001	540	1660	1	1	1	95578	o-CHLOROPHENOL                
2893	3.4299	253.64	48.017	-0.7	2	0.001	540	1660	1	1	1	108430	m-CHLOROPHENOL                
2894	3.4354	256.67	48.577	-0.7	2	0.001	540	1660	1	1	1	106489	p-CHLOROPHENOL                
2895	3.5243	209.82	52.94	-0.7	2	0.001	540	1660	1	1	1	771619	PENTAFLUOROPHENOL             
2898	2.0164	221.88	43.056	-0.7	2	0.001	1280	3960	1	1	1	107073	2-CHLOROETHANOL               
3101	7.213	200.02	111.604	-0.7	2	0.001	1280	3960	1	1	1	21078819	2-BUTYL-1-DECANOL             
