242	q	EOK(K)	 b(cc/	KadNm3	eDon	eAcc	nDegree	#eDs	#eAs	idCas	Name
1256	6.044	266.24	31.78	0.00002	1107	1107	1	1	1	107926	n-BUTYRIC ACID
1258	6.31	273.01	36.42	0.00002	1107	1107	1	1	1	109524	n-PENTANOIC ACID
1259	6.926	295.90	56.80	0.00002	1107	1107	1	1	1	112050	n-NONANOIC ACID
1260	5.539	268.41	35.15	0.00002	1107	1107	1	1	1	79312	ISOBUTYRIC ACID
1261	6.101	271.29	35.64	0.00002	1107	1107	1	1	1	503742	ISOVALERIC ACID
1262	6.533	279.28	40.84	0.00002	1107	1107	1	1	1	142621	n-HEXANOIC ACID
1265	6.88	289.58	50.30	0.00002	1107	1107	1	1	1	124072	n-OCTANOIC ACID
1269	7.971	298.30	73.92	0.00002	1107	1107	1	1	1	143077	n-DODECANOIC ACID
1276	9.248	311.09	110.20	0.00002	1107	1107	1	1	1	57114	n-OCTADECANOIC ACID
1291	4.154	295.12	35.17	0.00070	1700	0	1	1	0	108247	AceticAnhydride
1301	2.7736	277.02	20.52	0.00070	360	0	1	1	0	107313	METHYLFORMATE(~EtForm,NoAs)
1302	2.9632	281.25	26.79	0.00070	360	0	1	1	0	109944	ETHYLFORMATE(CHCL3)
1303	3.174	289.53	32.99	0.00070	360	0	1	1	0	110747	n-PROPYLFORMATE
1304	3.761	282.04	37.85	0.00070	360	0	1	1	0	592847	nBUTYLFORMATE
1305	3.775	277.81	33.74	0.00070	360	0	1	1	0	542552	ISOBUTYLFORMATE
1306	4.75	268.16	41.34	0.00070	360	0	1	1	0	638493	n-PENTYLFORMATE
1312	3.343	267.25	26.05	0.00040	810	0	1	1	0	79209	MeAcetate(CHCL3)
1313	3.5698	269.16	32.43	0.00040	810	0	1	1	0	141786	EtAcetate(CHCL3)
1314	3.731	278.17	38.96	0.00040	810	0	1	1	0	109604	PrAcetate(~EtAc,NoAs)
1315	4.1435	280.46	43.25	0.00040	810	0	1	1	0	123864	nBuAcetate(~EtAc)
1316	4.109	274.23	43.42	0.00040	810	0	1	1	0	110190	iBuAcetate
1320	3.818	281.49	41.91	0.00040	810	0	1	1	0	105464	secBuAcetate
1351	3.029	310.462	38.308	0.00070	0	0	1	1	0	80626	MethylMethacrylate(MeOH)
1359	4.414	333.50	50.32	0.00070	900	0	1	1	0	140114	benzyl acetate(~ester,BadAs)
1391	4.353	334.50	50.36	0.00070	990	0	1	1	0	93890	ethyl benzoate(EtOHvl)
1400	2.972	296.72	35.67	0.00040	1600	0	1	1	0	96479	2-MethylTHF
1401	2.387	242.91	19.65	0.00040	1120	0	1	1	0	115106	DiMethylEther
1402	2.961	258.24	32.02	0.00040	1120	0	1	1	0	60297	DiEthylEther(CHCL3)
1403	3.3897	262.29	42.22	0.00040	1550	0	1	1	0	108203	diisopropylEther(CHCL3)
1404	4.2216	283.14	54.96	0.00040	1140	0	1	1	0	142961	dibutylEther(CHCL3)
1405	2.757	283.37	38.26	0.00040	1120	0	1	1	0	1634044	MTBE(CHCL3)
1407	2.703	251.75	25.16	0.00040	1120	0	1	1	0	540670	MethylEthylEther
1421	2.946	325.53	28.18	0.00040	300	0	1	2	0	123911	14-Dioxane(CHCL3)
1441	2.369	285.9	16.91	0.00040	00	0	1	1	0	75218	EthyleneOxide
1446	3.6069	271.86	42.04	0.00040	1120	0	1	1	0	111433	DiPropylEther(CHCL3)
1452	2.523	338.81	30.76	0.00040	1000	0	1	1	0	142687	TetrahydroPyran-oxane
1457	8.445	279.10	68.52	0.00012	1120	0	5	1	0	143248	tetraglyme(MeOH)
1461	3.4336	336.97	36.84	0.00040	1120	0	1	1	0	100663	Anisole(12DCEvl)
1475	3.934	436.67	96.02	0.00070	2516	2516	1	1	1	80433	DICUMYLPEROXIDE 
1479	2.509	320.80	26.72	0.00100	2000	0	1	1	0	109999	THF(CHCL3)
1501	2.3321	341.35	31.65	0.00100	0	0	1	0	0	56235	CarbonTet(Def)
1511	2.378	310.13	21.70	0.00100	0	350	1	0	1	75092	dichloromethane(Ac=O)
1521	2.505	318.69	25.18	0.00100	0	1550	1	0	1	67663	CHLOROFORM(Ac=O)
1522	2.63	304.30	26.33	0.00100	0	800	1	0	1	75343	11-dichloroethane(MEK)
1523	2.897	313.58	26.23	0.00100	0	660	1	0	1	107062	12-dichloroethane(Ac=O)
1527	2.518	323.20	32.57	0.00100	0	1600	1	0	1	71556	111-trichloroethane(Ac=O)
1541	2.614	332.99	28.51	0.00100	0	1650	1	0	1	79016	TRICHLOROETHENE(ACN)
1571	2.746	361.20	35.47	0.00100	240	0	1	1	0	108907	chlorobenzene(CHCL3)
1586	2.727	308.90	36.77	0.00100	0	990	1	0	1	109693	1-chlorobutane(Ac=O)
1604	2.525	218.75	19.08	0.00100	0	550	1	0	1	75456	CHLORODIFLUOROMethane-R22(NA)
1615	2.849	168.19	15.64	0.00100	0	1550	1	0	1	75467	TRIFLUOROMethane
1645	2.425	303.80	23.39	0.00100	0	0	1	0	1	74964	bromoethane(Benz)
1646	3.15	183.14	23.16	0.00100	0	1580	1	0	1	354336	PENTAFLUOROETHANE
1680	2.751	382.50	37.58	0.00100	240	0	1	0	1	108861	bromobenzene(~1571,NoAs)
1681	2.08	342.00	21.06	0.00100	0	1000	1	0	1	74884	iodomethane(Ac=O)
1682	2.156	352.70	30.84	0.00100	0	0	1	0	1	75036	iodoethane(MeOH)
1692	1.966	497.10	36.13	0.00100	0	0	1	0	1	75116	diiodomethane(~1682,NoAs)
1696	2.299	277.08	22.85	0.00100	650	650	1	1	1	75434	DICHLOROFLUOROMETHANE-R21(NoDs)
1701	1.036	359.93	17.85	0.00100	2140	860	1	1	1	74895	METHYLAMINE
1702	2.848	243.26	20.90	0.00040	1315	305	1	1	1	124403	DIMETHYLAMINE
1706	3.228	286.20	43.30	0.00080	1940	0	1	1	0	121448	TriEtAmine(CHCL3)
1710	2.981	273.15	33.54	0.00040	1010	1010	1	1	1	109897	DIETHYLAMINE(ACN,TEA)
1707	4.037	269.17	41.23	0.00040	1010	1010	1	1	1	142847	DI-n-PROPYLAMINE
1744	4.7933  279.238 52.523	0.00040	1010	1010	1	1	1	111922	DI-n-BUTYLAMINE
1745	2.6366	344.094	32.688	0.00040	1010	1010	1	1	1	110894	piperidine
3796	4.0402  343.110	45.675	0.00040	1010	1010	1	1	1	103695	NEthylANILINE
1756	4.8623  377.257	57.311	0.00040	1010	1010	1	1	1	122394	DiPhenylAmine
2752	3.9767  314.021	27.240	0.00080	1010	1010	1	1	1	110850	PIPERAZINE
1721	3.0194  350.096	24.491	0.00040	1010	1010	1	1	1	109977	PYRROLE
1766	2.7770  321.782	25.752	0.00040	1010	1010	1	1	1	123751	PYRROLIDINE 
1704	2.2071  280.55  21.875	0.00100	730	1470	1	1	1	75047	ETHYLAMINE
1711	2.5175  289.94  27.502	0.00100	730	1470	1	1	1	107108	n-PROPYLAMINE
1712	2.9451  291.91  32.121	0.00100	730	1470	1	1	1	109739	n-BUTYLAMINE
1713	3.6682  280.627 37.410	0.00100	730	1470	1	1	1	110587	n-PENTYLAMINE
2706	4.0442  285.646	43.204	0.00100	730	1470	1	1	1	111262	n-HEXYLAMINE
2707	4.3897  288.965	49.016	0.00100	730	1470	1	1	1	111682	n-HEPTYLAMINE
2708	5.0243  285.858	53.900	0.00100	730	1470	1	1	1	111864	n-OCTYLAMINE
1719	2.6729  270.546	26.698	0.00040	730	1470	1	1	1	75310	2-PROPYLAMINE
1714	3.3247  270.248 29.947	0.00040	730	1470	1	1	1	78819	ISOBUTYLAMINE
1726	2.7680  291.295	32.717	0.00040	730	1470	1	1	1	13952846	secBUTYLAMINE
