248	q	EOK(K)	 b(cc/	k10	k11	KadNm3	eDon	eAcc	nDegree	#eDs	#eAs	idCas	Name
2195	1.9858	252.2	247.375	-1.402	0.097	0.0004	540	1660	1	1	1	140669	p-tert-OCTYLPHENOL            
2196	1.8202	255.15	190.573	-1.408	0.174	0.0004	540	1660	1	1	1	80466	p-tert-AMYLPHENOL             
2197	2.1254	266.25	217.076	-1.438	0.258	0.0004	540	1660	1	1	1	599644	p-CUMYLPHENOL                 
2198	5.7141	248.34	281.933	-1.254	2.521	0.0004	540	1660	1	1	1	1323655	DINONYLPHENOL                 
2248	4.7199	222.28	132.768	-1.056	2.071	0.0004	1280	3960	1	1	1	112470	DECAN-110-DIOL                
2249	5.6098	181.8	112.024	-1.871	6.975	0.0004	1280	3960	1	1	1	105088	14-CYCLOHEXANEDIMETHANOL      
2706	1.7219	203.35	137.712	-1.456	0.977	0.001	730	1470	1	1	1	111262	n-HEXYLAMINE                  
2707	2.3148	199.22	132.441	-1.428	1.84	0.001	730	1470	1	1	1	111682	n-HEPTYLAMINE                 
2708	1.8565	204.75	198.157	-1.529	0.894	0.001	730	1470	1	1	1	111864	n-OCTYLAMINE                  
2709	1.9589	207.53	222.794	-1.534	0.884	0.001	730	1470	1	1	1	112209	n-NONYLAMINE                  
2710	2.0672	210.56	238.332	-1.505	0.716	0.001	730	1470	1	1	1	2016571	n-DECYLAMINE                  
2724	3.4394	244.34	66.525	-0.758	2.423	0.001	730	1470	1	1	1	578541	o-ETHYLANILINE                
2725	2.103	262.86	97.975	-1.346	0.664	0.001	730	1470	1	1	1	95545	o-PHENYLENEDIAMINE            
2727	3.3492	262.07	71.097	-1.257	3.143	0.001	730	1470	1	1	1	108452	m-PHENYLENEDIAMINE            
