248	q	EOK(K)	 b(cc/	k10	k11	KadNm3	eDon	eAcc	nDegree	#eDs	#eAs	idCas	Name
1002	2.802	263.82	21.1	-0.7	2	0.0007	730	0	1	1	0	75070	ACETALDEHYDE(~C3al,NoAs)
1003	2.866	282.45	25.12	-0.7	2	0.0007	730	0	1	1	0	123386	PROPANAL(MeOHvl)
1005	2.906	298.45	30.69	-0.7	2	0.0007	730	0	1	1	0	123728	BUTANAL(~C3al,NoAs)
1041	3.168	373.59	36.95	-0.7	2	0.0007	730	0	1	1	0	100527	BENZALDEHYDE(~C3al,NoAs)
1051	3.115	275.53	26.74	-0.7	2	0.001	910	0	1	1	0	67641	ACETONE(CHCL3)
1052	3.281	284.56	31.64	-0.7	2	0.0002	910	0	1	1	0	78933	MEK(CHCL3)
1054	3.456	299.17	42.55	-0.7	2	0.00052	910	0	1	1	0	108101	MIBK(CHCL3)
1060	3.433	292.88	36.84	-0.7	2	0.00029	910	0	1	1	0	107879	2-pentanone(MeOH)
1063	3.985	302.12	48.76	-0.7	2	0.0007	910	0	1	1	0	110430	2-heptanone(MeOH)
1071	3.6198	369.23	38.27	-0.7	2	0.0008	900	0	1	1	1	872504	NMP(pXylene;eD<0if111TCE,12DCE;eA<0ifMEK)
1080	3.104	354.7	40.47	-0.7	2	0.0007	380	0	1	1	0	108941	cyclohexanone(111TCE)
1090	3.6897	360.53	42.24	-0.7	2	0.0007	1610	0	1	1	0	98862	acetophenone(IPAvl)
1093	4.162	375.4	38.69	-0.7	2	0.0007	900	0	1	1	0	502443	e-caprolactone(~ester,NoAs)
1093	4.162	375.4	38.69	-0.7	2	0.0007	900	0	1	1	0	502443	e-caprolactone(~ester,NoAs)
1070	1.5914	299.45	91.455	-1.296	0.082	0.0008	1750	100	1	1	1	616455	2-PYRROLIDONE                 
1101	1	227.92	31.5	-0.61	1.51	0.001	1280	3960	1	1	1	67561	METHANOL                      
1102	1.2531	216.28	40.578	-0.55	0.776	0.001	1320	3920	1	1	1	64175	ETHANOL                       
1103	1.6657	216.86	53.102	-0.937	2.015	0.0004	1280	3960	1	1	1	71238	1-PROPANOL                    
1104	1.8173	201.37	50.086	-0.855	2.56	0.0004	1280	3960	1	1	1	67630	ISOPROPANOL                   
1105	1.981	228.87	55.514	-0.689	1.77	0.0004	1280	3960	1	1	1	71363	1-BUTANOL                     
1106	1.6813	243.6	55.941	-0.444	0.554	0.00035	1280	3960	1	1	1	78831	2-METHYL-1-PROPANOL           
1107	2.4431	210.7	48.039	-0.65	3.346	0.00025	1280	3960	1	1	1	78922	2-BUTANOL                     
1108	2.8668	202.05	38.029	-0.189	4.865	0.0003	1280	3960	1	1	1	75650	2-METHYL-2-PROPANOL           
1109	2.1778	232.96	63.098	-0.706	2.127	0.0005	1280	3960	1	1	1	71410	1-PENTANOL                    
1110	1.8733	242.17	62.62	-0.426	0.911	0.0004	1280	3960	1	1	1	6032297	2-PENTANOL                    
1111	1.0058	255.53	103.289	-1.155	0.432	0.0002	1280	3960	1	1	1	75854	2-METHYL-2-BUTANOL            
1112	1.2083	240.47	104.392	-1.214	0.393	0.00035	1280	3960	1	1	1	137326	2-METHYL-1-BUTANOL            
1113	2.6606	178.75	73.373	-1.593	5.539	0.0002	1280	3960	1	1	1	75843	22-DIMETHYL-1-PROPANOL        
1114	2.4148	236.36	70.625	-0.658	1.922	0.00053	1280	3960	1	1	1	111273	1-HEXANOL                     
1115	2.4725	216.53	74.62	-0.934	3.05	0.0004	1280	3960	1	1	1	626937	2-HEXANOL                     
1116	1.898	252.82	70.835	-0.443	1.009	0.0004	1280	3960	1	1	1	623370	3-HEXANOL                     
1117	2.5847	239.74	62.144	-0.498	2.751	0.0004	1280	3960	1	1	1	105306	2-METHYL-1-PENTANOL           
1118	3.1194	186.67	82.944	-1.411	4.718	0.0004	1280	3960	1	1	1	589355	3-METHYL-1-PENTANOL           
1119	1.5194	261.36	77.447	-0.841	2.545	0.0004	1280	3960	1	1	1	77747	3-METHYL-3-PENTANOL           
1120	1.8228	236.54	66.568	-0.678	1.753	0.0004	1280	3960	1	1	1	584021	3-PENTANOL                    
1121	2.4996	242.73	93.869	-0.665	0.964	0.0004	1280	3960	1	1	1	104767	2-ETHYL-1-HEXANOL             
1122	3.6156	177.67	94.022	-1.547	5.678	0.0004	1280	3960	1	1	1	624226	2-METHYL-1-HEXANOL            
1123	1.7246	230.38	77.696	-0.961	1.05	0.0004	1280	3960	1	1	1	123513	3-METHYL-1-BUTANOL            
1124	1.3741	287.74	59.732	-0.009	-0.214	0.0004	1280	3960	1	1	1	598754	3-METHYL-2-BUTANOL            
1125	2.3771	249.72	80.932	-0.527	0.905	0.00055	1280	3960	1	1	1	111706	1-HEPTANOL                    
1126	2.7317	224.69	78.08	-0.801	3.004	0.0004	1280	3960	1	1	1	543497	2-HEPTANOL                    
1127	2.4912	230.93	78.07	-0.722	2.183	0.0004	1280	3960	1	1	1	589822	3-HEPTANOL                    
1129	3.4253	181.63	100.274	-1.52	4.793	0.0004	1280	3960	1	1	1	627985	5-METHYL-1-HEXANOL            
1130	2.6264	195.29	78.969	-1.404	5.49	0.0004	1280	3960	1	1	1	108112	4-METHYL-2-PENTANOL           
1132	2.8176	242	88.568	-0.646	1.717	0.00055	1280	3960	1	1	1	111875	1-OCTANOL                     
1133	3.0134	224.54	86.565	-0.799	2.598	0.0004	1280	3960	1	1	1	123966	2-OCTANOL                     
1134	2.7838	232.47	117.178	-1.016	1.99	0.00053	1280	3960	1	1	1	143088	1-NONANOL                     
1135	3.4276	215.85	100.367	-1.125	4.39	0.0004	1280	3960	1	1	1	628999	2-NONANOL                     
1136	2.5976	234.02	148.34	-1.147	1.527	0.00053	1280	3960	1	1	1	112301	1-DECANOL                     
1137	3.3354	239.21	126.02	-0.808	1.59	0.00053	1280	3960	1	1	1	112425	1-UNDECANOL                   
1139	3.794	223.63	91.672	-0.628	2.416	0.001	1280	3960	1	1	1	55505265	8-METHYL-1-NONANOL            
1140	2.1461	239.15	240.441	-1.35	0.683	0.00053	1280	3960	1	1	1	112538	1-DODECANOL                   
1141	2.9553	234.35	204.427	-1.22	1.362	0.00053	1280	3960	1	1	1	112709	1-TRIDECANOL                  
1142	4.0746	232.43	168.864	-1.035	2.51	0.00053	1280	3960	1	1	1	112721	1-TETRADECANOL                
1143	3.4232	235.33	224.64	-1.176	1.376	0.00053	1280	3960	1	1	1	629765	1-PENTADECANOL                
1144	5.232	234.37	162.424	-0.842	3.1	0.00053	1280	3960	1	1	1	36653824	1-HEXADECANOL                 
1145	5.8428	235.2	160.811	-0.759	3.514	0.00053	1280	3960	1	1	1	1454859	1-HEPTADECANOL                
1146	2.441	237.38	451.463	-1.477	0.427	0.00053	1280	3960	1	1	1	112925	1-OCTADECANOL                 
1147	2.2635	224.35	73.794	-0.839	1.704	0.0004	1280	3960	1	1	1	97950	2-ETHYL-1-BUTANOL             
1149	2.5097	239.58	472.92	-1.46	0.366	0.00053	1280	3960	1	1	1	1454848	1-NONADECANOL                 
1151	1.8213	297.33	60.223	-0.305	0.772	0.0004	2516	2516	1	1	1	108930	CYCLOHEXANOL                  
1153	3.1043	175.24	106.026	-1.897	6.958	0.0004	1280	3960	1	1	1	7443701	cis-2-METHYLCYCLOHEXANOL      
1155	3.1423	195.79	80.703	-1.441	4.573	0.0004	1280	3960	1	1	1	5454795	cis-3-METHYLCYCLOHEXANOL      
1156	3.1591	197.18	80.156	-1.451	4.85	0.0004	1280	3960	1	1	1	7443552	trans-3-METHYLCYCLOHEXANOL    
1157	3.1138	193.43	83.2	-1.517	5.032	0.0004	1280	3960	1	1	1	7731284	cis-4-METHYLCYCLOHEXANOL      
1158	3.3887	195.61	73.656	-1.399	5.224	0.0004	1280	3960	1	1	1	7731295	trans-4-METHYLCYCLOHEXANOL    
1159	3.839	181.27	141.652	-1.829	6.565	0.0004	1280	3960	1	1	1	2216515	L-MENTHOL                     
1160	2.6789	270.7	692.213	-1.546	0.345	0.0004	1280	3960	1	1	1	83465	SITOSTEROL                    
1162	3.2753	199.83	127.022	-1.621	4.716	0.0004	1280	3960	1	1	1	98555	alpha-TERPINEOL               
1163	2.769	205.98	130.131	-1.519	3.219	0.0004	1280	3960	1	1	1	138874	beta-TERPINEOL                
