IdDippr	T(K)	P(Mpa)	rho(g/cm3)	D(cm2/s)
68	348.15	245.8	0.844	0.00000173	Dymond, molecular physics 75, 461-466, 1992
68	348.15	279.2	0.853	0.00000142	Dymond, molecular physics 75, 461-466, 1992
2081	343.15	0.1	0.780564463	2.04174E-06	J. Chem. Phys. 1998, 108, 4299-4304
2081	363.15	0.1	0.768042445	3.16228E-06	J. Chem. Phys. 1998, 108, 4299-4304
2081	383.15	0.1	0.755915848	4.67735E-06	J. Chem. Phys. 1998, 108, 4299-4304
2081	403.15	0.1	0.744166231	6.30957E-06	J. Chem. Phys. 1998, 108, 4299-4304
2081	423.15	0.1	0.732776284	8.51138E-06	J. Chem. Phys. 1998, 108, 4299-4304
2081	443.15	0.1	0.721729743	1.09648E-05	J. Chem. Phys. 1998, 108, 4299-4304
8657	383.15	0.1	0.784704634	1.04713E-06	J. Chem. Phys. 1998, 108, 4299-4304
8657	403.15	0.1	0.773745154	1.54882E-06	J. Chem. Phys. 1998, 108, 4299-4304
8657	423.15	0.1	0.763087587	2.18776E-06	J. Chem. Phys. 1998, 108, 4299-4304
8657	443.15	0.1	0.752719624	2.95121E-06	J. Chem. Phys. 1998, 108, 4299-4304
914	322.55	6.890	0.10387	2.72E-03	Miffin, T. R. and Bennett, C. O. (1958) Self-di¤usion in argon to 300 atmospheres. J. Chem. Phys. 29,975.
914	322.55	8.998	0.13663	1.94E-03	Miffin, T. R. and Bennett, C. O. (1958) Self-di¤usion in argon to 300 atmospheres. J. Chem. Phys. 29,975.
914	322.55	15.320	0.23371	1.45E-03	Miffin, T. R. and Bennett, C. O. (1958) Self-di¤usion in argon to 300 atmospheres. J. Chem. Phys. 29,975.
914	322.55	24.622	0.36834	8.75E-04	Miffin, T. R. and Bennett, C. O. (1958) Self-di¤usion in argon to 300 atmospheres. J. Chem. Phys. 29,975.
914	322.55	9.626	0.11466	2.70E-03	Miffin, T. R. and Bennett, C. O. (1958) Self-di¤usion in argon to 300 atmospheres. J. Chem. Phys. 29,975.
914	322.55	11.926	0.18177	1.61E-03	Miffin, T. R. and Bennett, C. O. (1958) Self-di¤usion in argon to 300 atmospheres. J. Chem. Phys. 29,975.
914	322.55	19.657	0.29843	9.50E-04	Miffin, T. R. and Bennett, C. O. (1958) Self-di¤usion in argon to 300 atmospheres. J. Chem. Phys. 29,975.
914	322.55	29.486	0.43266	6.59E-04	Miffin, T. R. and Bennett, C. O. (1958) Self-di¤usion in argon to 300 atmospheres. J. Chem. Phys. 29,975.
914	322.55	15.857	0.24210	1.15E-03	Miffin, T. R. and Bennett, C. O. (1958) Self-di¤usion in argon to 300 atmospheres. J. Chem. Phys. 29,975.
914	322.55	24.318	0.36394	5.95E-04	Miffin, T. R. and Bennett, C. O. (1958) Self-di¤usion in argon to 300 atmospheres. J. Chem. Phys. 29,975.
914	308.15	0.724	0.01133	2.01E-02	Durbin, Kobayashi, 1962.
914	308.15	1.115	0.01749	1.35E-02	Durbin, Kobayashi, 1962.
914	308.15	1.115	0.01749	1.32E-02	Durbin, Kobayashi, 1962.
914	308.15	1.117	0.01751	1.32E-02	Durbin, Kobayashi, 1962.
914	308.15	2.090	0.03293	7.14E-03	Durbin, Kobayashi, 1962.
914	308.15	2.092	0.05545	7.10E-03	Durbin, Kobayashi, 1962.
914	308.15	3.495	0.07830	4.28E-03	Durbin, Kobayashi, 1962.
914	308.15	4.906	0.07830	3.03E-03	Durbin, Kobayashi, 1962.
914	308.15	4.908	0.11973	2.03E-03	Durbin, Kobayashi, 1962.
914	308.15	7.439	0.12149	2.04E-03	Durbin, Kobayashi, 1962.
914	308.15	13.478	0.21933	1.13E-03	Durbin, Kobayashi, 1962.
914	308.15	13.488	0.21953	1.13E-03	Durbin, Kobayashi, 1962.
914	308.15	13.491	0.21953	1.12E-03	Durbin, Kobayashi, 1962.
914	308.15	13.491	0.21953	1.14E-03	Durbin, Kobayashi, 1962.
914	308.15	13.498	0.21969	1.13E-03	Durbin, Kobayashi, 1962.
914	308.15	13.499	0.21969	1.14E-03	Durbin, Kobayashi, 1962.
914	308.15	13.509	0.21980	1.14E-03	Durbin, Kobayashi, 1962.
914	308.15	10.502	0.17039	1.45E-03	Durbin, Kobayashi, 1962.
914	308.15	17.681	0.28732	8.75E-04	Durbin, Kobayashi, 1962.
914	308.15	20.924	0.33778	7.26E-04	Durbin, Kobayashi, 1962.
914	308.15	20.924	0.33778	7.47E-04	Durbin, Kobayashi, 1962.
914	308.15	24.602	0.39215	6.43E-04	Durbin, Kobayashi, 1962.
914	308.15	27.652	0.43681	5.52E-04	Durbin, Kobayashi, 1962.
914	308.15	27.652	0.43681	5.80E-04	Durbin, Kobayashi, 1962.
914	308.15	30.681	0.47445	5.28E-04	Durbin, Kobayashi, 1962.
914	308.15	33.751	0.51216	4.91E-04	Durbin, Kobayashi, 1962.
914	273.15	38.068	0.56106	4.45E-04	Durbin, Kobayashi, 1962.
914	273.15	38.078	0.56114	4.32E-04	Durbin, Kobayashi, 1962.
914	273.15	41.553	0.59705	4.22E-04	Durbin, Kobayashi, 1962.
902	293	101	0.04987	0.00197	Chen et al. PhysRevA, 16:2112(1977)
902	293	152.3928	0.06326	0.00146	Chen et al. PhysRevA, 16:2112(1977)
902	293	197.17845	0.07163	0.0012	Chen et al. PhysRevA, 16:2112(1977)
902	36.2	7.0658	0.01060	0.021048	Hartland, 1964.
902	36.2	16.378	0.02333	0.009567	Hartland, 1964.
902	36.2	23.177	0.03181	0.007623	Hartland, 1964.
902	36.2	26.779	0.03605	0.006548	Hartland, 1964.
902	36.2	29.105	0.03870	0.005877	Hartland, 1964.
902	36.2	32.953	0.04294	0.005397	Hartland, 1964.
902	36.2	36.455	0.04665	0.004738	Hartland, 1964.
902	36.2	39.039	0.04930	0.004613	Hartland, 1964.
902	36.2	41.694	0.05195	0.004337	Hartland, 1964.
902	36.2	45.537	0.05566	0.003816	Hartland, 1964.
902	36.2	47.802	0.05778	0.003491	Hartland, 1964.
902	36.2	51.892	0.06150	0.003140	Hartland, 1964.
902	36.2	56.775	0.06574	0.002677	Hartland, 1964.
902	36.2	59.945	0.06839	0.002447	Hartland, 1964.
902	36.2	63.211	0.07104	0.002296	Hartland, 1964.
902	36.2	66.576	0.07369	0.002067	Hartland, 1964.
902	36.2	69.343	0.07581	0.001812	Hartland, 1964.
902	25.6	52.966	0.06415	0.002208	Hartland, 1964.
902	25.6	54.759	0.06574	0.001959	Hartland, 1964.
902	25.6	57.199	0.06786	0.001834	Hartland, 1964.
902	25.6	58.441	0.06892	0.001744	Hartland, 1964.
902	25.6	59.698	0.06998	0.001687	Hartland, 1964.
902	25.6	60.97	0.07104	0.001571	Hartland, 1964.
902	25.6	64.88	0.07422	0.001446	Hartland, 1964.
902	25.6	66.216	0.07528	0.001340	Hartland, 1964.
902	25.6	68.936	0.07740	0.001248	Hartland, 1964.
902	25.6	70.321	0.07846	0.001094	Hartland, 1964.
1938	268.2	0.1	1.2998	3.12E-05	LA Woolf, JChemSocFaradayTrans, 1982.
1938	268.2	0.1	1.2998	3.11E-05	LA Woolf, JChemSocFaradayTrans, 1982.
1938	268.2	45	1.3404	2.64E-05	LA Woolf, JChemSocFaradayTrans, 1982.
1938	268.2	100.1	1.3803	2.19E-05	LA Woolf, JChemSocFaradayTrans, 1982.
1938	268.2	195.8	1.4334	1.66E-05	LA Woolf, JChemSocFaradayTrans, 1982.
1938	268.2	289.8	1.4757	1.27E-05	LA Woolf, JChemSocFaradayTrans, 1982.
1938	268.2	382	1.5095	1.05E-05	LA Woolf, JChemSocFaradayTrans, 1982.
1938	283.2	0.1	1.2779	3.70E-05	LA Woolf, JChemSocFaradayTrans, 1982.
1938	283.2	0.1	1.2779	3.64E-05	LA Woolf, JChemSocFaradayTrans, 1982.
1938	283.2	53.8	1.3276	3.03E-05	LA Woolf, JChemSocFaradayTrans, 1982.
1938	283.2	145.2	1.3892	2.31E-05	LA Woolf, JChemSocFaradayTrans, 1982.
1938	283.2	225.5	1.431	1.87E-05	LA Woolf, JChemSocFaradayTrans, 1982.
1938	283.2	316.1	1.4707	1.50E-05	LA Woolf, JChemSocFaradayTrans, 1982.
1938	283.2	383.3	1.4972	1.29E-05	LA Woolf, JChemSocFaradayTrans, 1982.
1938	298.2	0.1	1.2555	4.20E-05	LA Woolf, JChemSocFaradayTrans, 1982.
1938	298.2	0.1	1.2555	4.26E-05	LA Woolf, JChemSocFaradayTrans, 1982.
1938	298.2	38.9	1.2958	3.64E-05	LA Woolf, JChemSocFaradayTrans, 1982.
1938	298.2	85.5	1.3335	3.21E-05	LA Woolf, JChemSocFaradayTrans, 1982.
1938	298.2	139.9	1.3729	2.61E-05	LA Woolf, JChemSocFaradayTrans, 1982.
1938	298.2	211.8	1.4119	2.23E-05	LA Woolf, JChemSocFaradayTrans, 1982.
1938	298.2	291.2	1.4506	1.81E-05	LA Woolf, JChemSocFaradayTrans, 1982.
1938	298.2	382.2	1.4872	1.47E-05	LA Woolf, JChemSocFaradayTrans, 1982.
1938	313.2	0.1	1.2325	4.95E-05	LA Woolf, JChemSocFaradayTrans, 1982.
1938	313.2	0.1	1.2325	4.98E-05	LA Woolf, JChemSocFaradayTrans, 1982.
1938	313.2	45.7	1.2812	4.15E-05	LA Woolf, JChemSocFaradayTrans, 1982.
1938	313.2	98.6	1.3238	3.51E-05	LA Woolf, JChemSocFaradayTrans, 1982.
1938	313.2	192.4	1.3884	2.69E-05	LA Woolf, JChemSocFaradayTrans, 1982.
1938	313.2	298.4	1.441	2.15E-05	LA Woolf, JChemSocFaradayTrans, 1982.
1938	313.2	385.1	1.4778	1.78E-05	LA Woolf, JChemSocFaradayTrans, 1982.
909	273.15	1.034	0.0216	8.00E-03	Etesse, zega, Kobayashi, JCP, 1992.
909	273.15	2.086	0.0480	3.51E-03	Etesse, zega, Kobayashi, JCP, 1992.
909	273.15	3.210	0.0855	2.00E-03	Etesse, zega, Kobayashi, JCP, 1992.
909	273.15	5.536	0.9447	1.35E-04	Etesse, zega, Kobayashi, JCP, 1992.
909	273.15	6.895	0.9546	1.30E-04	Etesse, zega, Kobayashi, JCP, 1992.
909	273.15	13.721	0.9935	1.17E-04	Etesse, zega, Kobayashi, JCP, 1992.
909	273.15	20.891	1.0239	1.07E-04	Etesse, zega, Kobayashi, JCP, 1992.
909	273.15	27.027	1.0451	1.00E-04	Etesse, zega, Kobayashi, JCP, 1992.
909	273.15	34.612	1.0675	9.50E-05	Etesse, zega, Kobayashi, JCP, 1992.
909	273.15	41.506	1.0851	9.10E-05	Etesse, zega, Kobayashi, JCP, 1992.
909	298.15	1.034	0.0194	9.51E-03	Etesse, zega, Kobayashi, JCP, 1992.
909	298.15	2.068	0.0413	4.40E-03	Etesse, zega, Kobayashi, JCP, 1992.
909	298.15	2.448	0.0502	3.73E-03	Etesse, zega, Kobayashi, JCP, 1992.
909	298.15	3.503	0.0781	2.54E-03	Etesse, zega, Kobayashi, JCP, 1992.
909	298.15	4.254	0.1021	1.83E-03	Etesse, zega, Kobayashi, JCP, 1992.
909	298.15	4.668	0.1175	1.59E-03	Etesse, zega, Kobayashi, JCP, 1992.
909	298.15	4.826	0.1240	1.52E-03	Etesse, zega, Kobayashi, JCP, 1992.
909	298.15	5.667	0.1669	1.10E-03	Etesse, zega, Kobayashi, JCP, 1992.
909	298.15	6.205	0.2114	8.96E-04	Etesse, zega, Kobayashi, JCP, 1992.
909	298.15	6.240	0.2154	9.13E-04	Etesse, zega, Kobayashi, JCP, 1992.
909	298.15	6.419	0.7133	8.08E-04	Etesse, zega, Kobayashi, JCP, 1992.
909	298.15	6.812	0.7370	2.18E-04	Etesse, zega, Kobayashi, JCP, 1992.
909	298.15	13.789	0.8660	1.65E-04	Etesse, zega, Kobayashi, JCP, 1992.
909	298.15	20.684	0.9193	1.47E-04	Etesse, zega, Kobayashi, JCP, 1992.
909	298.15	27.579	0.9562	1.34E-04	Etesse, zega, Kobayashi, JCP, 1992.
909	298.15	34.474	0.9851	1.25E-04	Etesse, zega, Kobayashi, JCP, 1992.
909	298.15	41.368	1.0092	1.16E-04	Etesse, zega, Kobayashi, JCP, 1992.
909	298.15	48.200	1.0297	1.10E-04	Etesse, zega, Kobayashi, JCP, 1992.
909	323.15	1.034	0.0176	1.10E-02	Etesse, zega, Kobayashi, JCP, 1992.
909	323.15	2.068	0.0369	5.41E-03	Etesse, zega, Kobayashi, JCP, 1992.
909	323.15	3.399	0.0648	3.10E-03	Etesse, zega, Kobayashi, JCP, 1992.
909	323.15	4.826	0.1001	1.96E-03	Etesse, zega, Kobayashi, JCP, 1992.
909	323.15	6.391	0.1487	1.40E-03	Etesse, zega, Kobayashi, JCP, 1992.
909	323.15	7.239	0.1821	1.20E-03	Etesse, zega, Kobayashi, JCP, 1992.
909	323.15	8.481	0.2477	8.75E-04	Etesse, zega, Kobayashi, JCP, 1992.
909	323.15	10.135	0.4006	5.23E-04	Etesse, zega, Kobayashi, JCP, 1992.
909	323.15	10.990	0.5016	4.08E-04	Etesse, zega, Kobayashi, JCP, 1992.
909	323.15	13.652	0.6608	2.87E-04	Etesse, zega, Kobayashi, JCP, 1992.
909	323.15	20.615	0.7916	2.16E-04	Etesse, zega, Kobayashi, JCP, 1992.
909	323.15	27.441	0.8531	1.89E-04	Etesse, zega, Kobayashi, JCP, 1992.
909	323.15	34.336	0.8957	1.71E-04	Etesse, zega, Kobayashi, JCP, 1992.
909	323.15	41.162	0.9284	1.56E-04	Etesse, zega, Kobayashi, JCP, 1992.
909	323.15	48.263	0.9563	1.48E-04	Etesse, zega, Kobayashi, JCP, 1992.
909	348.15	1.069	0.0168	1.30E-02	Etesse, zega, Kobayashi, JCP, 1992.
909	348.15	2.068	0.0336	6.30E-03	Etesse, zega, Kobayashi, JCP, 1992.
909	348.15	3.844	0.0664	3.25E-03	Etesse, zega, Kobayashi, JCP, 1992.
909	348.15	4.985	0.0901	2.33E-03	Etesse, zega, Kobayashi, JCP, 1992.
909	348.15	6.391	0.1228	1.73E-03	Etesse, zega, Kobayashi, JCP, 1992.
909	348.15	7.067	0.1403	1.53E-03	Etesse, zega, Kobayashi, JCP, 1992.
909	348.15	9.115	0.2018	1.13E-03	Etesse, zega, Kobayashi, JCP, 1992.
909	348.15	11.514	0.2959	7.81E-04	Etesse, zega, Kobayashi, JCP, 1992.
909	348.15	13.789	0.4057	5.51E-04	Etesse, zega, Kobayashi, JCP, 1992.
909	348.15	15.858	0.5002	4.50E-04	Etesse, zega, Kobayashi, JCP, 1992.
909	348.15	20.408	0.6351	3.22E-04	Etesse, zega, Kobayashi, JCP, 1992.
909	348.15	27.234	0.7387	2.65E-04	Etesse, zega, Kobayashi, JCP, 1992.
909	348.15	34.267	0.8022	2.27E-04	Etesse, zega, Kobayashi, JCP, 1992.
909	348.15	41.368	0.8478	2.02E-04	Etesse, zega, Kobayashi, JCP, 1992.
909	348.15	49.848	0.8894	1.84E-04	Etesse, zega, Kobayashi, JCP, 1992.
909	295.67	7.002	0.7793	1.97E-04	Robinson & Stewart, IECFun  (1968),  7(1),  90-5.  
909	295.67	11.065	0.8514	1.86E-04	Robinson & Stewart, IECFun  (1968),  7(1),  90-5.  
909	295.67	14.773	0.8883	1.59E-04	Robinson & Stewart, IECFun  (1968),  7(1),  90-5.  
909	295.67	18.472	0.9159	1.56E-04	Robinson & Stewart, IECFun  (1968),  7(1),  90-5.  
909	273.77	7.376	0.9544	1.18E-04	Robinson & Stewart, IECFun  (1968),  7(1),  90-5.  
909	273.77	7.376	0.9544	1.17E-04	Robinson & Stewart, IECFun  (1968),  7(1),  90-5.  
909	273.77	14.753	0.9957	1.00E-04	Robinson & Stewart, IECFun  (1968),  7(1),  90-5.  
201	298.15	5.837	0.1261	1.14E-03	Arends et al., 1981.
201	298.15	6.218	0.1513	9.37E-04	Arends et al., 1981.
201	298.15	6.5047	0.1765	7.99E-04	Arends et al., 1981.
201	298.15	6.7505	0.2018	6.89E-04	Arends et al., 1981.
201	298.15	7.0041	0.227	6.21E-04	Arends et al., 1981.
201	298.15	7.3244	0.2522	5.48E-04	Arends et al., 1981.
201	298.15	7.7989	0.2774	4.95E-04	Arends et al., 1981.
201	298.15	8.5662	0.3026	4.43E-04	Arends et al., 1981.
201	298.15	9.842	0.3279	3.96E-04	Arends et al., 1981.
201	298.15	11.9368	0.3531	3.47E-04	Arends et al., 1981.
201	298.15	15.2687	0.3783	3.12E-04	Arends et al., 1981.
201	298.15	20.3863	0.4035	2.74E-04	Arends et al., 1981.
201	298.15	27.9693	0.4287	2.41E-04	Arends et al., 1981.
201	298.15	38.8528	0.454	2.09E-04	Arends et al., 1981.
201	298.15	54.0104	0.4792	1.82E-04	Arends et al., 1981.
201	298.15	74.557	0.5044	1.56E-04	Arends et al., 1981.
201	298.15	101.8811	0.5296	1.34E-04	Arends et al., 1981.
201	298.15	137.4869	0.5548	1.17E-04	Arends et al., 1981.
201	298.15	182.8468	0.5801	9.93E-05	Arends et al., 1981.
201	273.15	4.5564	0.3531	3.21E-04	Arends et al., 1981.
201	273.15	6.3446	0.3783	2.81E-04	Arends et al., 1981.
201	273.15	9.6824	0.4035	2.50E-04	Arends et al., 1981.
201	273.15	15.2485	0.4287	2.20E-04	Arends et al., 1981.
201	273.15	23.8592	0.454	1.94E-04	Arends et al., 1981.
201	273.15	36.494	0.4792	1.71E-04	Arends et al., 1981.
201	273.15	54.2924	0.5044	1.44E-04	Arends et al., 1981.
201	273.15	78.5682	0.5296	1.25E-04	Arends et al., 1981.
201	273.15	110.9118	0.5548	1.06E-04	Arends et al., 1981.
201	273.15	152.6983	0.5801	8.71E-05	Arends et al., 1981.
201	273.15	205.627	0.6053	7.49E-05	Arends et al., 1981.
201	273.15	272.1681	0.6305	6.28E-05	Arends et al., 1981.
201	223.15	2.5	0.4848	1.31E-04	Arends et al., 1981.
201	223.15	5	0.4906	1.29E-04	Arends et al., 1981.
201	223.15	15	0.5093	1.14E-04	Arends et al., 1981.
201	223.15	25	0.5238	1.06E-04	Arends et al., 1981.
201	223.15	30	0.53	1.02E-04	Arends et al., 1981.
201	223.15	40	0.541	9.51E-05	Arends et al., 1981.
201	223.15	50	0.5505	8.68E-05	Arends et al., 1981.
201	223.15	60.795	0.5596	8.17E-05	Arends et al., 1981.
201	223.15	81.06	0.5743	7.20E-05	Arends et al., 1981.
201	223.15	101.325	0.5868	6.59E-05	Arends et al., 1981.
201	223.15	151.988	0.612	5.40E-05	Arends et al., 1981.
201	223.15	202.65	0.632	4.49E-05	Arends et al., 1981.
201	223.15	272.168	0.6543	3.65E-05	Arends et al., 1981.
201	173.15	2.044	0.5647	3.26E-05	Arends et al., 1981.
201	173.15	10.133	0.5731	3.10E-05	Arends et al., 1981.
201	173.15	15	0.5777	2.99E-05	Arends et al., 1981.
201	173.15	30	0.5902	2.75E-05	Arends et al., 1981.
201	173.15	50	0.6039	2.50E-05	Arends et al., 1981.
201	173.15	78.568	0.6199	2.19E-05	Arends et al., 1981.
201	173.15	101.325	0.6306	1.97E-05	Arends et al., 1981.
201	173.15	151.988	0.6504	1.67E-05	Arends et al., 1981.
201	173.15	205.528	0.6672	1.40E-05	Arends et al., 1981.
201	173.15	272.168	0.6846	1.15E-05	Arends et al., 1981.
201	123.15	2.044	0.6328	1.72E-05	Arends et al., 1981.
201	123.15	10.133	0.64	1.61E-05	Arends et al., 1981.
201	123.15	20.265	0.6474	1.49E-05	Arends et al., 1981.
201	123.15	35	0.6561	1.35E-05	Arends et al., 1981.
201	123.15	54.292	0.6652	1.19E-05	Arends et al., 1981.
201	123.15	78.668	0.6743	1.03E-05	Arends et al., 1981.
201	123.15	101.325	0.6814	8.88E-06	Arends et al., 1981.
201	123.15	113.991	0.6848	8.22E-06	Arends et al., 1981.
201	123.15	119.76	0.6863	7.94E-06	Arends et al., 1981.
201	123.15	120.07	0.6864	7.97E-06	Arends et al., 1981.
201	398.15	6.2543	0.061224	2.32E-03	Baker, 1984.
201	398.15	12.186	0.13469	1.32E-03	Baker, 1984.
201	398.15	17.608	0.202	9.03E-04	Baker, 1984.
201	398.15	25.803	0.275	5.97E-04	Baker, 1984.
201	398.15	40.945	0.348	4.35E-04	Baker, 1984.
201	398.15	72.915	0.422	3.23E-04	Baker, 1984.
201	398.15	130.83	0.489	1.45E-04	Baker, 1984.
201	373.15	5.6909	0.061224	2.32E-03	Baker, 1984.
201	373.15	10.67	0.13469	1.16E-03	Baker, 1984.
201	373.15	14.903	0.202	6.94E-04	Baker, 1984.
201	373.15	21.25	0.275	5.16E-04	Baker, 1984.
201	373.15	33.604	0.348	4.03E-04	Baker, 1984.
201	373.15	61.397	0.422	2.90E-04	Baker, 1984.
201	373.15	114.06	0.489	1.61E-04	Baker, 1984.
201	348.15	5.121	0.061224	2.02E-03	Baker, 1984.
201	348.15	9.1364	0.13469	1.08E-03	Baker, 1984.
201	348.15	12.19	0.202	7.26E-04	Baker, 1984.
201	348.15	16.698	0.275	4.84E-04	Baker, 1984.
201	348.15	26.212	0.348	3.55E-04	Baker, 1984.
201	348.15	49.687	0.422	2.90E-04	Baker, 1984.
201	348.15	96.926	0.489	0.00020967	Baker, 1984.
201	298.15	3.9498	0.061224	0.00212903	Baker, 1984.
201	298.15	5.9819	0.13469	0.00112903	Baker, 1984.
201	298.15	6.754	0.202	0.00075806	Baker, 1984.
201	298.15	7.7485	0.275	0.00051612	Baker, 1984.
201	298.15	11.447	0.348	0.00040322	Baker, 1984.
201	298.15	25.708	0.422	0.00025806	Baker, 1984.
201	298.15	140.71	0.489	0.00008064	Baker, 1984.
137	313	0.1	0.7599	1.92E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.
137	313	10	0.7690	1.73E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.
137	313	20	0.7771	1.54E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.
137	313	30	0.7844	1.41E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.
137	313	40	0.7911	1.25E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.
137	313	50	0.7972	1.16E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.
137	313	60	0.8029	1.04E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.
137	333	0.1	0.7405	2.76E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.
137	333	10	0.7514	2.42E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.
137	333	20	0.7606	2.18E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.
137	333	30	0.7689	1.95E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.
137	333	40	0.7764	1.76E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.
137	333	50	0.7832	1.59E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.
137	333	60	0.7895	1.44E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.
137	333	70	0.7954	1.32E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.
137	333	80	0.8009	1.19E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.
137	333	90	0.8061	1.11E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.
137	333	100	0.8110	1.05E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.
137	358	10	0.7319	3.50E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.
137	358	20	0.7415	3.13E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.
137	358	40	0.7581	2.60E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.
137	358	60	0.7723	2.09E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.
137	358	80	0.7848	1.75E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.
137	358	100	0.7960	1.48E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.
137	358	120	0.8061	1.30E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.
137	358	140	0.8154	1.13E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.
137	358	160	0.8240	1.04E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.
137	383	5	0.6992	5.24E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.
137	383	20	0.7188	4.41E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.
137	383	40	0.7393	3.57E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.
137	383	60	0.7558	2.98E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.
137	383	80	0.7698	2.48E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.
137	383	96	0.7797	2.21E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.
137	383	120	0.7929	1.85E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.
137	383	140	0.8027	1.65E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.
137	383	160	0.8116	1.43E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.
137	383	180	0.8199	1.22E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.
137	383	200	0.8276	1.12E-05	Jonas, J., Hasha, D. and Huang, S. G. (1980) Density effects on transport properties in liquid cyclohexane.J. Phys. Chem. 84, 109.
