IdDippr	T(K)	P(Mpa)	rho(g/cm3)	D(cm2/s)
1	403	31	0.14351	0.00118	Greiner, Schmid, JCP 94,1991
1	427	27	0.11871	0.00171	Greiner, Schmid, JCP 94,1991
1	427	57	0.2062	0.000798	Greiner, Schmid, JCP 94,1991
1	427	107	0.2825	0.00052	Greiner, Schmid, JCP 94,1991
1	427	157	0.32668	0.000409	Greiner, Schmid, JCP 94,1991
1	427	207	0.35778	0.000351	Greiner, Schmid, JCP 94,1991
1	454	11	0.04698	0.00345	Greiner, Schmid, JCP 94,1991
1	454	21	0.087698	0.00225	Greiner, Schmid, JCP 94,1991
1	454	27	0.11005	0.00183	Greiner, Schmid, JCP 94,1991
1	454	31	0.12389	0.00146	Greiner, Schmid, JCP 94,1991
1	454	57	0.19424	0.000936	Greiner, Schmid, JCP 94,1991
1	454	107	0.27123	0.000593	Greiner, Schmid, JCP 94,1991
1	454	157	0.31651	0.000473	Greiner, Schmid, JCP 94,1991
1	454	207	0.34844	0.0004	Greiner, Schmid, JCP 94,1991
1	110	2.076	0.4267172	0.0000512	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280
1	110	2.077	0.4267172	0.0000519	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280
1	110	9.898	0.43329442	0.0000478	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280
1	110	9.9	0.43329442	0.0000463	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280
1	110	20.883	0.44131542	0.0000418	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280
1	110	33.2	0.449176	0.0000382	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280
1	110	46.781	0.45687616	0.0000348	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280
1	110	61.493	0.46409506	0.0000295	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280
1	110	65.597	0.4668222	0.0000291	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280
1	110	80.06	0.47211606	0.0000262	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280
1	140	1.525	0.37875162	0.000111	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280
1	140	5.464	0.38516842	0.000104	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280
1	140	18.047	0.40105	0.0000886	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280
1	140	34.838	0.41693158	0.0000768	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280
1	140	56.313	0.43265274	0.0000648	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280
1	140	84.84	0.449176	0.0000546	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280
1	140	84.843	0.449176	0.000054	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280
1	140	119.968	0.465218	0.0000441	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280
1	140	164.41	0.48126	0.0000352	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280
1	140	221.58	0.497302	0.0000285	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280
