1974 Chem_Info_ChemID	Min_T	Min_Val	Max_T	Max_Val	Avg_Dev	Num_Coeffs	A	B	C	D	E	Max_Dev	Max_Dev_T	Value
3727	402.6499939	0.9466	828	2607300	0.100000001	5	155.34	-20845	-17.278	2.1724E-18	6	0.100000001	738	BENZENAMINE,N-METHYL-N,2,4,6-TETRANITRO-
3747	491.0499878	66.767	926	2605800	0.5	5	131.91	-19799	-14.105	9.4206E-19	6	0.600000024	636	BENZENAMINE, 4-NITRO-N-(4-NITROPHENYL)-
3748	479.6499939	9.8031	946	1998900	0	5	138.7	-21178	-14.948	8.6833E-19	6	0.100000001	894	BENZENEAMINE,4-NITRO-N-(4-NITROPHENYL)-N-PHENYL-
4859	270.6099854	0.74275	686	2729500	0.400000006	5	135.36	-12101	-16.344	8.1604E-06	2	0.600000024	426	BENZENE, 1-CHLORO-2-NITRO-4-(TRIFLUOROMETHYL)-
4863	272	3.1343	667	2816100	1.399999976	5	217.68	-13934	-30.845	0.027946	1	6.199999809	275	BENZENE, 1-NITRO-3-(TRIFLUOROMETHYL)-
4870	326.5499878	0.27399	813.7700195	3488600	0.200000003	5	101.95	-13892	-10.487	1.6069E-18	6	0.800000012	588	BENZENE, 1-CHLORO-2,4-DINITRO-
4880	315.6499939	6.719	758	3598900	0.100000001	5	82.63	-10763	-8.1029	2.0726E-18	6	1	529	BENZENE, 1,2-DICHLORO-4-NITRO-
4881	419.1499939	0.4335	755	4819600	0	5	261.32	-31423	-31.006	6.2417E-18	6	0	453	D-GLUCOSE
4882	306.1499939	16.235	757	4006200	1.899999976	5	76.124	-9098	-7.6773	3.4787E-06	2	7.5	640	BENZENE, 1-CHLORO-2-NITRO-
4883	356.6499939	243.79	751	3976300	0.699999988	5	80.782	-10309	-7.893	2.2499E-18	6	7.400000095	512	BENZENE, 1-CHLORO-4-NITRO-
7876	313.6499939	0.0068442	793.9000244	2743600	0.109999999	5	122.091	-16275.2	-13.0798	2.27439E-18	6	0.300000012	605.1500244	PHENOL, 2-(1-METHYLPROPYL)-4,6-DINITRO
1	90.69000244	11687	190.5599976	4589700	0	5	39.205	-1324.4	-3.4366	0.000031019	2	0.200000003	191	METHANE
2	90.34999847	1.1273	305.3200073	4852200	0.5	5	51.857	-2598.7	-5.1283	0.000014913	2	3.900000095	112	ETHANE
3	85.47000122	0.00016788	369.8299866	4213500	0.200000003	5	59.078	-3492.6	-6.0669	0.000010919	2	0.800000012	370	PROPANE
4	113.5400009	0.012062	407.7999878	3629900	0.5	5	108.43	-5039.9	-15.012	0.022725	1	4.400000095	244	PROPANE, 2-METHYL-
