         251        1911        1921     7664417     7732185
  273.15  3.685030E-01  8.500000E-01  9.998000E-01 916
  273.15  2.818440E-01  7.020000E-01  9.994000E-01 916
  273.15  2.423800E-01  6.500000E-01  9.991000E-01 916
  273.15  1.604270E-01  5.330000E-01  9.980000E-01 916
  273.15  3.430400E-02  3.210000E-01  9.883000E-01 916
  273.15  2.930430E-02  3.050000E-01  9.858000E-01 916
  273.15  1.710530E-02  2.540000E-01  9.742000E-01 916
  273.15  2.766440E-03  1.080000E-01  8.160000E-01 916
  313.15  1.145640E+00  7.370000E-01  9.984000E-01 916
  313.15  9.723200E-01  6.640000E-01  9.976000E-01 916
  313.15  8.631300E-01  6.200000E-01  9.970000E-01 916
  313.15  6.920770E-01  5.520000E-01  9.955000E-01 916
  313.15  2.666450E-01  3.640000E-01  9.840000E-01 916
  313.15  1.803850E-01  3.105000E-01  9.729000E-01 916
  313.15  1.782520E-01  3.080000E-01  9.716000E-01 916
  313.15  1.487880E-01  2.850000E-01  9.659000E-01 916
  313.15  9.444560E-02  2.310000E-01  9.416000E-01 916
  313.15  2.990420E-02  1.127000E-01  7.850000E-01 916
  313.15  1.538000E-01  2.930000E-01  9.667000E-01 917
  313.15  5.447010E-01  5.118000E-01  9.945000E-01 917
  313.15  9.928000E-01  6.892000E-01  9.982000E-01 917
  313.15  1.103000E+00  7.350000E-01  9.986000E-01 917
  313.15  1.227000E+00  7.900000E-01  9.990000E-01 917
  313.15  1.406000E+00  8.850000E-01  9.994000E-01 917
  333.15  1.600000E-01  1.970000E-01  9.280000E-01 918
  333.15  3.400000E-01  3.180000E-01  9.750000E-01 918
  333.15  6.500000E-01  4.400000E-01  9.910000E-01 918
  333.15  1.060000E+00  5.540000E-01  9.960000E-01 918
  333.15  1.550000E+00  6.830000E-01  9.980000E-01 918
  333.15  2.070000E+00  8.320000E-01  9.990000E-01 918
  333.15  1.140310E+00  5.400000E-01  9.924000E-01 916
  333.15  7.428720E-01  4.440000E-01  9.858000E-01 916
  333.15  5.086650E-01  3.740000E-01  9.765000E-01 916
  333.15  4.150330E-01  3.400000E-01  9.694000E-01 916
  333.15  3.207740E-01  2.990000E-01  9.571000E-01 916
  333.15  2.934430E-01  2.860000E-01  9.533000E-01 916
  333.15  2.067830E-01  2.380000E-01  9.284000E-01 916
  333.15  1.455880E-01  1.920000E-01  8.920000E-01 916
  333.15  9.087260E-02  1.360000E-01  8.140000E-01 916
  333.15  7.319400E-02  1.139000E-01  7.620000E-01 916
  333.15  3.054000E-01  2.945000E-01  9.551000E-01 917
  333.15  9.584000E-01  5.110000E-01  9.904000E-01 917
  333.15  1.710000E+00  6.965000E-01  9.965000E-01 917
  333.15  1.889000E+00  7.638000E-01  9.974000E-01 917
  333.15  2.041000E+00  8.033000E-01  9.979000E-01 917
  333.15  2.379000E+00  9.063000E-01  9.988000E-01 917
  333.15  2.433850E-02  9.600000E-03  1.720000E-01 919
  333.15  2.895800E-02  1.970000E-02  2.880000E-01 919
  333.15  3.709380E-02  3.660000E-02  4.310000E-01 919
  333.15  4.357490E-02  4.940000E-02  5.560000E-01 919
  333.15  4.936650E-02  6.040000E-02  6.020000E-01 919
  333.15  5.915700E-02  7.900000E-02  6.960000E-01 919
  333.15  6.384550E-02  8.660000E-02  7.230000E-01 919
  333.15  1.118330E-01  1.538000E-01  8.420000E-01 919
  333.15  1.469960E-01  1.891000E-01  9.000000E-01 919
  353.15  8.551300E-01  3.680000E-01  9.664000E-01 916
  353.15  4.534300E-01  2.650000E-01  9.261000E-01 916
  353.15  1.978500E-01  1.490000E-01  7.990000E-01 916
  353.15  1.495880E-01  1.150000E-01  7.240000E-01 916
  353.15  5.757000E-01  3.098000E-01  9.445000E-01 917
  353.15  1.551000E+00  5.107000E-01  9.836000E-01 917
  353.15  2.751000E+00  7.141000E-01  9.933000E-01 917
  353.15  2.875000E+00  7.436000E-01  9.940000E-01 917
  353.15  2.965000E+00  7.674000E-01  9.945000E-01 917
  353.15  3.227000E+00  8.131000E-01  9.954000E-01 917
  353.15  3.254000E+00  8.246000E-01  9.957000E-01 917
  353.15  3.640000E+00  8.956000E-01  9.970000E-01 917
  353.15  3.813000E+00  9.293000E-01  9.978000E-01 917
  353.15  5.529600E-02  9.600000E-03  1.430000E-01 920
  353.15  6.425920E-02  1.970000E-02  2.820000E-01 920
  353.15  7.708340E-02  3.400000E-02  3.810000E-01 920
  353.15  7.963450E-02  3.660000E-02  4.110000E-01 920
  353.15  1.043870E-01  6.040000E-02  5.310000E-01 920
  353.15  1.240370E-01  7.900000E-02  6.310000E-01 920
  359.70  1.160000E-01  3.680000E-02  2.025000E-01 921
  359.70  1.210000E-01  4.280000E-02  2.352000E-01 921
  359.70  1.530000E-01  7.770000E-02  4.114000E-01 921
  359.70  1.920000E-01  1.064000E-01  5.534000E-01 921
  359.70  2.530010E-01  1.399000E-01  6.826000E-01 921
  359.70  3.860000E-01  2.054000E-01  8.150000E-01 921
  359.70  6.230000E-01  2.837000E-01  8.948000E-01 921
  359.70  6.440000E-01  2.935000E-01  9.053000E-01 921
  359.70  7.670000E-01  3.261000E-01  9.154000E-01 921
  359.70  1.189000E+00  4.173000E-01  9.517000E-01 921
  359.70  1.510000E+00  4.724000E-01  9.635000E-01 921
  359.70  1.516000E+00  4.805000E-01  9.655000E-01 921
  359.70  1.917000E+00  5.442000E-01  9.750000E-01 921
  359.70  2.415000E+00  6.162000E-01  9.831000E-01 921
  359.70  3.093000E+00  7.257000E-01  9.890000E-01 921
