         234        1101        1921       67561     7732185
  298.15  5.650000E-03  1.029000E-01  5.002000E-01 578
  298.15  7.570000E-03  2.021000E-01  6.533000E-01 578
  298.15  9.160000E-03  3.032000E-01  7.370000E-01 578
  298.15  1.033000E-02  4.028000E-01  7.927000E-01 578
  298.15  1.137000E-02  5.019000E-01  8.360000E-01 578
  298.15  1.252000E-02  6.096000E-01  8.760000E-01 578
  298.15  1.357000E-02  7.073000E-01  9.089000E-01 578
  298.15  1.457000E-02  8.016000E-01  9.390000E-01 578
  298.15  1.575000E-02  9.000000E-01  9.695000E-01 578
  298.15  5.826200E-03  1.000000E-01  5.070000E-01 579
  298.15  7.599400E-03  2.000000E-01  6.540000E-01 579
  298.15  8.999300E-03  3.000000E-01  7.330000E-01 579
  298.15  1.019900E-02  4.000000E-01  7.890000E-01 579
  298.15  1.133200E-02  5.000000E-01  8.330000E-01 579
  298.15  1.242600E-02  6.000000E-01  8.710000E-01 579
  298.15  1.351900E-02  7.000000E-01  9.060000E-01 579
  298.15  1.461200E-02  8.000000E-01  9.390000E-01 579
  298.15  1.574500E-02  9.000000E-01  9.700000E-01 578
  308.15  9.810000E-03  1.029000E-01  4.872000E-01 578
  308.15  1.291000E-02  2.021000E-01  6.394000E-01 578
  308.15  1.545000E-02  3.032000E-01  7.234000E-01 578
  308.15  1.736000E-02  4.028000E-01  7.801000E-01 578
  308.15  1.903000E-02  5.019000E-01  8.247000E-01 578
  308.15  2.084000E-02  6.096000E-01  8.666000E-01 578
  308.15  2.253000E-02  7.073000E-01  9.014000E-01 578
  308.15  2.416000E-02  8.016000E-01  9.336000E-01 578
  308.15  2.601000E-02  9.000000E-01  9.666000E-01 578
  308.15  7.332700E-03  4.080000E-02  2.490000E-01 580
  308.15  1.087240E-02  1.387000E-01  5.274000E-01 580
  308.15  1.401090E-02  2.488000E-01  6.738000E-01 580
  308.15  1.639730E-02  3.603000E-01  7.559000E-01 580
  308.15  1.834650E-02  4.694000E-01  8.084000E-01 580
  308.15  2.057960E-02  6.012000E-01  8.611000E-01 580
  308.15  2.268080E-02  7.239000E-01  9.071000E-01 580
  308.15  2.398070E-02  7.951000E-01  9.316000E-01 580
  308.15  2.575790E-02  8.880000E-01  9.636000E-01 580
  308.15  2.585920E-02  9.005000E-01  9.683000E-01 580
  308.15  2.680450E-02  9.406000E-01  9.815000E-01 580
  318.15  1.639000E-02  1.029000E-01  4.750000E-01 578
  318.15  2.125000E-02  2.021000E-01  6.260000E-01 578
  318.15  2.516000E-02  3.032000E-01  7.103000E-01 578
  318.15  2.813000E-02  4.028000E-01  7.679000E-01 578
  318.15  3.073000E-02  5.019000E-01  8.137000E-01 578
  318.15  3.354000E-02  6.096000E-01  8.573000E-01 578
  318.15  3.618000E-02  7.073000E-01  8.940000E-01 578
  318.15  3.868000E-02  8.016000E-01  9.283000E-01 578
  318.15  4.148000E-02  9.000000E-01  9.638000E-01 578
  318.15  1.476900E-02  7.530000E-02  3.986000E-01 581
  318.15  1.818500E-02  1.358000E-01  5.384000E-01 581
  318.15  2.188900E-02  2.171000E-01  6.466000E-01 581
  318.15  2.475800E-02  2.926000E-01  7.082000E-01 581
  318.15  2.767100E-02  3.805000E-01  7.641000E-01 581
  318.15  3.006600E-02  4.731000E-01  8.073000E-01 581
  318.15  3.257900E-02  5.563000E-01  8.397000E-01 581
  318.15  3.517600E-02  6.507000E-01  8.743000E-01 581
  318.15  3.814200E-02  7.604000E-01  9.136000E-01 581
  318.15  4.095300E-02  8.739000E-01  9.538000E-01 581
  318.15  4.278200E-02  9.354000E-01  9.773000E-01 581
  323.15  2.911900E-02  2.470000E-01  6.710000E-01 582
  323.15  3.062000E-02  2.842000E-01  7.029000E-01 582
  323.15  3.113500E-02  2.940000E-01  7.109000E-01 582
  323.15  3.279100E-02  3.338000E-01  7.373000E-01 582
  323.15  3.532100E-02  4.028000E-01  7.772000E-01 582
  323.15  3.627600E-02  4.316000E-01  7.873000E-01 582
  323.15  3.808500E-02  4.872000E-01  8.100000E-01 582
  323.15  3.934100E-02  5.314000E-01  8.254000E-01 582
  323.15  4.015900E-02  5.513000E-01  8.326000E-01 582
  323.15  4.061300E-02  5.688000E-01  8.410000E-01 582
  323.15  4.204900E-02  6.145000E-01  8.569000E-01 582
  323.15  4.491600E-02  6.989000E-01  8.890000E-01 582
  323.15  4.594300E-02  7.290000E-01  8.991000E-01 582
  323.15  4.733300E-02  7.730000E-01  9.160000E-01 582
  323.15  1.906500E-02  8.730000E-02  3.783000E-01 583
  323.15  2.619800E-02  1.900000E-01  5.883000E-01 583
  323.15  3.259700E-02  3.417000E-01  7.076000E-01 583
  323.15  3.813000E-02  4.943000E-01  7.807000E-01 583
  323.15  4.439600E-02  6.919000E-01  8.655000E-01 583
  323.15  4.972900E-02  8.492000E-01  9.349000E-01 583
  328.15  2.652000E-02  1.029000E-01  4.635000E-01 578
  328.15  3.398000E-02  2.021000E-01  6.131000E-01 578
  328.15  3.977000E-02  3.032000E-01  6.976000E-01 578
  328.15  4.429000E-02  4.028000E-01  7.559000E-01 578
  328.15  4.822000E-02  5.019000E-01  8.029000E-01 578
  328.15  5.240000E-02  6.096000E-01  8.481000E-01 578
  328.15  5.640000E-02  7.073000E-01  8.867000E-01 578
  328.15  6.018000E-02  8.016000E-01  9.231000E-01 578
  328.15  6.429000E-02  9.000000E-01  9.610000E-01 578
  328.15  3.070900E-02  1.587000E-01  5.660000E-01 582
  328.15  3.336800E-02  1.980000E-01  6.154000E-01 582
