1725 idDip Tc	PcBar	 acen	 TwuL	TwuM	 TwuM   c(cc/mol) zRa	 Tmin
105	532.7	3.79	0.2288	0.8731	0.8789	0.7645	-3.3528	0.2712	275
107	569.5	3.4	0.2701	0.8506	0.8661	0.8421	-1.3241	0.2668	302
111	551	3.445	0.2743	0.5287	0.841	1.258	-13.8651	0.2812	292
112	553	3.445	0.2699	1.2632	1	0.5758	-11.3865	0.2785	293
137	553.8	4.08	0.2081	0.3707	0.8119	1.3579	-4.2349	0.273	283
138	572.1	3.48	0.2361	0.689	0.8442	0.9392	-4.0869	0.2715	299
147	587.7	2.94	0.2548	0.7137	0.839	0.9475	2.2398	0.2647	314
153	703.6	3.2	0.2791	1.4612	1	0.4968	2.4814	0.264	378
154	687	3.2	0.2993	0.2893	0.8348	2.0054	-8.3627	0.2713	371
159	604.2	3.82	0.2408	0.2404	0.8471	2.0869	-5.3516	0.2725	314
160	647.2	3.56	0.2524	0.1321	0.8374	2.6993	-4.1219	0.2709	341
201	282.34	5.041	0.0862	0.2506	0.8535	1.3897	-3.291	0.2825	132
202	364.85	4.6	0.1376	0.4902	0.8457	1.006	-3.5465	0.2782	177
204	419.5	4.02	0.1845	0.2035	0.8532	2.0765	-3.4679	0.2743	211
205	435.5	4.21	0.2019	0.4526	0.8193	1.1798	-1.3959	0.2702	220
206	428.6	4.1	0.2176	0.3114	0.8502	1.6777	-2.8797	0.272	218
207	417.9	4	0.1948	0.347	0.8375	1.4418	-2.6428	0.2723	211
209	464.8	3.56	0.2372	0.9309	1	0.7706	-2.7711	0.2705	242
210	475	3.64	0.2454	1.2515	0.9936	0.558	-2.5914	0.2716	247
211	474.2	3.66	0.2484	0.471	0.8384	1.3073	-3.435	0.2709	247
212	465	3.447	0.2341	1.144	1	0.6072	3.71	0.2617	242
213	452.7	3.53	0.2097	0.483	0.881	1.2744	-5.318	0.2748	233
214	470	3.42	0.287	0.3521	0.8413	1.745	7.1782	0.2538	250
216	504	3.21	0.2851	1.0769	1	0.7257	-2.1926	0.2674	270
223	496	3.22	0.2389	1.182	1	0.5881	-4.3644	0.2716	261
234	537.4	2.92	0.3432	0.3941	0.8352	1.7693	-1.6608	0.2648	296
250	566.9	2.663	0.3921	0.2493	0.8435	2.6575	-0.9276	0.2628	320
259	593.1	2.428	0.4367	0.3053	0.8302	2.4151	2.2587	0.2592	342
260	616.6	2.223	0.4805	0.3362	0.8238	2.3809	6.3205	0.2558	362
262	657.1	1.888	0.562	0.4713	0.8055	2.0283	17.8443	0.249	399
269	507	4.8	0.1961	0.5816	0.859	1.0079	-4.8024	0.2763	254
270	560.4	4.35	0.2123	0.8412	0.8782	0.7601	-3.1784	0.2723	285
301	394	5.25	0.1041	1.9507	0.8298	0.2743	1.8231	0.2682	187
302	452	4.36	0.1659	1.1125	0.9395	0.5387	4.4502	0.2627	224
