138      c       q      EOK(K) b(cc/mo) Nd      KadNm3  EKcal Nas     Nds	  										
1876	2.1753	3.2387	346.804	36.076	0	0.00000	0.00	1	0	68122   DMF
919	.7733	.5682	65.455	 3.565	0	0.00000	0	0	0	7440019	Neon
970	.8045	.6276	514.16	13.508	0	0.00000	0	0	0	7440019	Radon
912	2.359	3.588	 88.77	 7.000	1	0.00023	1.24	1	1	10102439	NitricOXIDE
1001	1.4868	1.9272	278.328	17.209	1	0.00070	1.5	1	1	50000	FORMALDEHYDE
1002	1.986	2.878	256.27	21.064	1	0.00070	1.50	1	1	75070	ACETALDEHYDE
1003	1.979	2.865	281.07	25.295	1	0.00070	1.50	1	1	123386	PROPANAL
1005	2.001	2.906	298.45	30.686	1	0.00070	1.50	1	1	123728	BUTANAL
1041	2.138	3.168	373.59	36.946	1	0.00070	1.50	1	1	100527	BENZALDEHYDE
1101	1.2694  1.5132  312.321 19.962	1	0.00070	5.00	1	1	67561	METHANOL 
1102	1.5866  2.1173  281.320 24.743	1	0.00070	5.00	1	1	64175	ETHANOL 
1103	1.6780  2.2914  295.939 30.005	1	0.00070	5.00	1	1	71238	1-PROPANOL 
1104	2.3274  3.5284  255.648 26.592	1	0.00012	5.00	1	1	67630	2-PROPANOL(IPA)
1105	1.771	2.469	310.56	35.762	1	0.00070	5.00	1	1	71363	1-BUTANOL
1106	1.665	2.267	310.30	36.560	1	0.00070	5.00	1	1	78831	2-METHYL-1-PROPANOL
1107	2.320	3.514	272.33	31.602	1	0.00012	5.00	1	1	78922	2-BUTANOL
1108	2.216	3.315	261.44	32.104	1	0.00012	5.00	1	1	75650	2-METHYL-2-PROPANOL
1109	1.925	2.762	316.29	40.732	1	0.00070	5.00	1	1	71410	1-PENTANOL
1110	2.453	3.768	279.50	36.611	1	0.00012	5.00	1	1	6032297	2-PENTANOL
1111	2.054	3.007	294.20	37.300	1	0.00012	5.00	1	1	75854	2-METHYL-2-BUTANOL
1112	1.888	2.691	310.70	39.840	1	0.00070	5.00	1	1	137326	2-METHYL-1-BUTANOL
1114	2.053	3.006	322.46	46.450	1	0.00070	5.00	1	1	111273	1-HEXANOL
1115	2.621	4.087	284.28	41.663	1	0.00012	5.00	1	1	626937	2-HEXANOL
1116	2.3818	3.6321	294.89	42.046	1	0.00012	5.00	1	1	623370	3-HEXANOL
1117	1.826	2.574	338.35	47.475	1	0.00070	5.00	1	1	105306	2-METHYL-1-PENTANOL
1120	2.283	3.444	288.00	37.151	1	0.00012	5.00	1	1	584021	3-PENTANOL
1121	2.269	3.418	326.24	58.290	1	0.00070	5.00	1	1	104767	2-ETHYL-1-HEXANOL
1123	1.910	2.732	310.11	39.900	1	0.00070	5.00	1	1	123513	3-METHYL-1-BUTANOL
1124	2.194	3.275	291.42	35.870	1	0.00012	5.00	1	1	598754	3-METHYL-2-BUTANOL
1125	2.229	3.342	323.34	51.933	1	0.00070	5.00	1	1	111706	1-HEPTANOL
1126	2.807	4.442	287.83	46.658	1	0.00012	5.00	1	1	543497	2-HEPTANOL
