44	1479	1921	VLE	THF + water
371.16	0.3025	0.3629	-86	1995 che wan 0
370.71	0.3025	0.4	-86	1995 che wan 0
370.69	0.3025	0.424	-86	1995 che wan 0
370.27	0.3025	0.4445	-86	1995 che wan 0
370.05	0.3025	0.472	-86	1995 che wan 0
369.93	0.3025	0.4874	-86	1995 che wan 0
369.72	0.3025	0.5182	-86	1995 che wan 0
368.91	0.3025	0.6295	-86	1995 che wan 0
368.88	0.3025	0.6622	-86	1995 che wan 0
368.7	0.3025	0.689	-86	1995 che wan 0
368.67	0.3025	0.7113	-86	1995 che wan 0
368.8	0.3025	0.7299	-86	1995 che wan 0
368.76	0.3025	0.7681	-86	1995 che wan 0
368.78	0.3025	0.7941	-86	1995 che wan 0
368.86	0.3025	0.8039	-86	1995 che wan 0
368.88	0.3025	0.8089	-86	1995 che wan 0
369.2	0.3025	0.8492	-86	1995 che wan 0
369.23	0.3025	0.8652	-86	1995 che wan 0
369.49	0.3025	0.8881	-86	1995 che wan 0
369.66	0.3025	0.9142	-86	1995 che wan 0
370.43	0.3025	0.9463	-86	1995 che wan 0
370.78	0.3025	0.9628	-86	1995 che wan 0
371.74	0.3025	0.9923	-86	1995 che wan 0
12	4	1441	VLE	isobutane + ethylene oxide
298.15	0.36191	0.9576	-86	2006 gil wil 0
298.15	0.37197	0.8889	-86	2006 gil wil 0
298.15	0.37921	0.7424	-86	2006 gil wil 0
298.15	0.37521	0.6174	-86	2006 gil wil 0
298.15	0.37101	0.5494	-86	2006 gil wil 0
298.15	0.36977	0.5378	-86	2006 gil wil 0
298.15	0.36446	0.4762	-86	2006 gil wil 0
298.15	0.35618	0.4028	-86	2006 gil wil 0
298.15	0.3437	0.3206	-86	2006 gil wil 0
298.15	0.3082	0.1789	-86	2006 gil wil 0
298.15	0.27345	0.103	-86	2006 gil wil 0
298.15	0.23187	0.0496	-86	2006 gil wil 0
348.15	1.2417	0.9585	-86	2006 gil wil 0
348.15	1.2795	0.8904	-86	2006 gil wil 0
348.15	1.3145	0.7433	-86	2006 gil wil 0
348.15	1.3097	0.617	-86	2006 gil wil 0
348.15	1.2973	0.5484	-86	2006 gil wil 0
348.15	1.2953	0.5375	-86	2006 gil wil 0
348.15	1.2767	0.4749	-86	2006 gil wil 0
348.15	1.2483	0.4007	-86	2006 gil wil 0
348.15	1.2055	0.3169	-86	2006 gil wil 0
348.15	1.0893	0.1732	-86	2006 gil wil 0
348.15	0.9889	0.0981	-86	2006 gil wil 0
348.15	0.8907	0.0465	-86	2006 gil wil 0
35	1441	1921	VLE	ethylene oxide + water
283.148	0.00338	0.0043	-86	1985 gil cun 3
283.148	0.00503	0.0086	-86	1985 gil cun 3
283.148	0.00772	0.0129	-86	1985 gil cun 3
283.148	0.01303	0.0231	-86	1985 gil cun 3
283.148	0.02048	0.0353	-86	1985 gil cun 3
283.148	0.02772	0.0496	-86	1985 gil cun 3
283.148	0.04702	0.0886	-86	1985 gil cun 3
283.148	0.07274	0.1796	-86	1985 gil cun 3
283.148	0.08446	0.3121	-86	1985 gil cun 3
283.148	0.08646	0.3949	-86	1985 gil cun 3
283.148	0.08756	0.458	-86	1985 gil cun 3
283.148	0.08763	0.488	-86	1985 gil cun 3
283.148	0.08811	0.502	-86	1985 gil cun 3
283.148	0.08825	0.5287	-86	1985 gil cun 3
283.148	0.08874	0.5422	-86	1985 gil cun 3
283.148	0.08929	0.5911	-86	1985 gil cun 3
283.148	0.08991	0.6432	-86	1985 gil cun 3
283.148	0.09067	0.7002	-86	1985 gil cun 3
283.148	0.09136	0.7469	-86	1985 gil cun 3
283.148	0.09225	0.7977	-86	1985 gil cun 3
283.148	0.09349	0.848	-86	1985 gil cun 3
283.148	0.09535	0.8971	-86	1985 gil cun 3
283.148	0.10108	1	-86	1985 gil cun 3
298.144	0.01455	0.011	-86	1985 gil cun 3
298.144	0.02654	0.0224	-86	1985 gil cun 3
298.144	0.06309	0.0616	-86	1985 gil cun 3
298.144	0.09074	0.0987	-86	1985 gil cun 3
298.144	0.132	0.2014	-86	1985 gil cun 3
298.144	0.1444	0.2997	-86	1985 gil cun 3
298.144	0.1493	0.3973	-86	1985 gil cun 3
298.144	0.1506	0.3919	-86	1985 gil cun 3
298.144	0.1519	0.4986	-86	1985 gil cun 3
298.144	0.1529	0.548	-86	1985 gil cun 3
298.144	0.1543	0.5337	-86	1985 gil cun 3
298.144	0.1562	0.6592	-86	1985 gil cun 3
298.144	0.1584	0.7394	-86	1985 gil cun 3
          46        1921        1181     7732185      108952
  317.55  1.199900E-03  5.010000E-02  8.248000E-01 939
  317.55  1.946500E-03  9.630000E-02  8.977000E-01 939
  317.55  2.799800E-03  1.391000E-01  9.329000E-01 939
  317.55  3.813000E-03  1.787000E-01  9.559000E-01 939
  317.55  4.533000E-03  2.156000E-01  9.656000E-01 939
