IdHiIdLo        kij     kTij    hij    hTij    Tauij   Tauji   alpha 
16230056	0.0701	0	0	0	0	0	0.3	LLE
10510007	0.0346	0	0	0	0	0	0.3	LLE
10510027	0.0274	0	0	0	0	0	0.3	LLE
10710011	0.0214	0	0	0	0	0	0.3	LLE
10710137	0.0278	0	0	0	0	0	0.3	LLE
10710138	0.0193	0	0	0	0	0	0.3	LLE
10710160	0.0268	0	0	0	0	0	0.3	LLE
11010007	0.0304	0	0	0	0	0	0.3	LLE
11010011	0.0369	0	0	0	0	0	0.3	LLE
11010017	0.0453	0	0	0	0	0	0.3	LLE
11010027	0.0478	0	0	0	0	0	0.3	LLE
11010041	0.0371	0	0	0	0	0	0.3	LLE
11010046	0.0509	0	0	0	0	0	0.3	LLE
11010137	0.0605	0	0	0	0	0	0.3	LLE
11010138	0.0534	0	0	0	0	0	0.3	LLE
11020064	0.0302	0	0	0	0	0	0.3	LLE
11020066	0.0350	0	0	0	0	0	0.3	LLE
11020068	0.0388	0	0	0	0	0	0.3	LLE
11810017	-0.0044	0	0	0	0	0	0.3	LLE
11810027	-0.0064	0	0	0	0	0	0.3	LLE
12910011	0.0536	0	0	0	0	0	0.3	LLE
16230027	0.0699	0	0	0	0	0	0.3	LLE
16230056	0.0737	0	0	0	0	0	0.3	LLE
16250027	0.0665	0	0	0	0	0	0.3	LLE
17601120	0.0394	0	0	0	0	0	0.3	LLE
17601125	0.0226	0	0	0	0	0	0.3	LLE
17720064	0.0509	0	0	0	0	0	0.3	LLE
17720137	0.0582	0	0	0	0	0	0.3	LLE
17920017	0.0127	0	0	0	0	0	0.3	LLE
17920019	0.0015	0	0	0	0	0	0.3	LLE
17920020	0.0000	0	0	0	0	0	0.3	LLE
17920021	-0.0124	0	0	0	0	0	0.3	LLE
17920024	-0.0062	0	0	0	0	0	0.3	LLE
17920025	-0.0052	0	0	0	0	0	0.3	LLE
17920137	0.0170	0	0	0	0	0	0.3	LLE
17920138	0.0139	0	0	0	0	0	0.3	LLE
