24227 TRCID	CASRN	Nist-Kt
137	6630019	4 1 3 15 1 18 1 19 1 21
138	6634011	4 1 4 2 2 15 4 56
139	6697127	1 1 14 2 5 15 1 46
140	6737117	1 1 1 3 1 5 1 51
141	6929084	2 1 8 2 1 3 1 204
142	6938063	1 1 3 2 1 58 1 77
143	6957091	4 15 1 16 1 18 5 27 1 29 1 205
144	7058017	2 1 1 2 1 3 5 27 1 28
145	7098079	1 1 1 2 1 30 1 84 1 92
146	7182107	1 1 1 2 1 6 5 27 1 84
147	7294055	5 1 1 2 2 4 1 205
148	7297112	1 1 4 2 1 60 1 188
149	7307031	2 1 1 3 1 42 1 43
150	7335048	9 27 1 28 1 84
151	7379126	3 1 1 2 1 3 1 43
152	7446095	1 155
153	7505126	2 1 28 2 1 52
154	7642048	2 1 4 2 1 6
155	7642093	2 1 2 2 1 6
156	7642106	2 1 3 2 1 6
159	100005	4 15 1 109 1 136
160	100016	4 15 1 79 1 136
161	100027	4 15 1 37 1 136
162	1000631	4 1 2 2 1 4 1 60
163	100072	1 1 4 15 1 46 1 65 1 110
164	1000868	3 1 1 7 1 8
166	100094	1 1 4 15 1 65 1 96
167	100107	2 1 4 15 1 49 1 81
168	100118	4 15 1 19 1 130 1 136
169	100174	1 1 4 15 1 65 1 136
170	100185	4 1 4 15 2 20
171	1001894	2 1 4 2 1 100
172	100196	1 1 4 15 1 46 1 136
173	10020436	1 1 7 2 1 39
174	100209	4 15 2 46 2 110
175	100210	4 15 2 96
176	1002160	1 1 4 2 1 194
177	100232	2 1 4 15 1 81 1 136
178	1002364	1 1 4 2 1 14 1 34
179	1002433	3 1 8 2 1 3
181	100254	4 15 2 136
182	1002579	6 2 1 67 1 94
184	100265	1 78 2 94
185	1002693	1 1 8 2 1 99
186	1002842	1 1 13 2 1 94
187	1003038	4 27 1 68
188	1003049	2 27 1 47 1 143
189	1003094	1 130 1 148
190	1003107	2 27 1 47 1 143
191	1003141	1 1 2 2 1 188
192	1003174	2 1 3 27 1 29 1 64
193	1003298	1 30 1 32 1 48 1 83
194	1003312	1 91 1 148
197	1003641	1 1 1 8 5 27
201	100378	2 1 3 2 1 34 1 75
202	1003787	2 1 2 27 2 28 1 155
203	100390	5 15 1 19 1 130
204	100403	1 5 3 27 1 28 1 30
205	100414	1 1 5 15 1 19
206	100425	5 15 1 22
207	10042598	2 1 7 2 1 3 1 34
208	100436	1 5 1 77
209	1004360	2 1 2 32 1 47 1 64
210	100447	5 15 1 16 1 99
211	100458	3 27 1 30 1 87
212	1004666	1 1 3 15 2 18 1 65
213	100469	5 15 1 16 1 67
214	100470	5 15 1 89
215	100481	1 77 1 91
216	100492	1 2 5 27 1 28 1 34
217	100505	3 27 1 28 1 30 1 48
219	100516	5 15 1 19 1 34
220	100527	5 15 1 49
221	100549	1 77 1 91
222	100607	5 27 1 28 1 71
223	10061015	1 6 1 99 1 108
224	10061026	1 6 1 99 1 108
225	100618	1 1 5 15 1 80
226	100630	5 15 1 70 1 80
227	100641	
228	100652	5 15 1 34 1 80
229	100663	1 1 5 15 1 65
232	100685	1 1 5 15 1 151
233	1006946	1 1 3 15 1 16 1 30 1 65 1 80
234	100696	1 5 1 77
235	100709	1 77 1 91
236	100710	1 1 1 2 1 77
237	100721	1 2 4 27 1 28 1 34 1 64
238	1007267	3 1 1 4 5 15 1 19
