765 ID	TcEos 	PcEos	ZcEos 	AcenEos
268	569.86	3.109	0.3080	0.3376
269	515.54	5.293	0.3111	0.1711
270	568.66	4.905	0.3104	0.2016
273	612.00	4.493	0.3101	0.2177
276	597.38	3.290	0.3087	0.2981
277	590.48	3.213	0.3084	0.3109
278	590.21	3.242	0.3085	0.3095
279	587.73	3.195	0.3084	0.3166
280	591.13	3.247	0.3085	0.3054
281	755.32	1.786	0.2978	0.7060
283	780.43	1.624	0.2955	0.7725
284	782.10	1.489	0.2917	0.8708
289	565.71	3.135	0.3080	0.3419
301	396.82	6.087	0.3119	0.1406
302	463.79	5.307	0.3114	0.1561
303	434.26	4.892	0.3113	0.1631
304	502.06	4.673	0.3100	0.2242
305	501.56	4.659	0.3101	0.2183
306	498.71	4.546	0.3103	0.2085
307	470.56	4.291	0.3102	0.2095
308	504.94	4.702	0.3097	0.2429
309	488.02	4.524	0.3106	0.1942
311	494.97	4.594	0.3100	0.2241
313	525.08	3.992	0.3098	0.2334
314	553.75	4.239	0.3096	0.2416
319	533.64	4.210	0.3099	0.2309
330	601.04	3.481	0.3070	0.3906
331	571.35	5.202	0.3108	0.1836
343	653.50	4.823	0.3097	0.2411
401	311.53	6.537	0.3028	0.1772
402	410.07	6.382	0.3106	0.1934
403	447.29	5.220	0.3098	0.2333
404	437.78	3.306	0.2368	0.4153
405	494.37	4.645	0.3099	0.2246
406	550.96	4.276	0.3095	0.2505
407	555.26	4.339	0.3094	0.2583
413	530.78	4.125	0.3092	0.2702
416	587.14	3.357	0.3071	0.3809
418	449.03	5.682	0.3102	0.2148
419	472.71	4.331	0.3098	0.2314
501	572.36	5.506	0.3107	0.1896
502	604.45	4.808	0.3097	0.2389
504	632.25	4.283	0.3091	0.2730
505	645.35	4.416	0.3090	0.2802
506	633.89	4.276	0.3089	0.2866
507	632.26	4.212	0.3089	0.2849
509	656.24	3.919	0.3085	0.3068
510	644.32	3.824	0.3085	0.3093
511	664.76	3.998	0.3083	0.3179
512	657.69	3.907	0.3083	0.3173
513	657.66	3.856	0.3083	0.3181
