282	c	q	eok	b	Nd	KadNm3 EhbKcal nAs    nDs      idCas
73	5.175	8.953	289.00	119.956	0	0	0.00	0	0	112958	n-EICOSANE
74	5.382	9.347	289.66	125.895	0	0	0.00	0	0	629947	n-HENEICOSANE
75	5.589	9.740	290.28	131.833	0	0	0.00	0	0	629970	n-DOCOSANE
76	5.795	10.134	290.85	137.771	0	0	0.00	0	0	638675	n-TRICOSANE
77	6.002	10.527	291.38	143.708	0	0	0.00	0	0	646311	n-TETRACOSANE
90	3.423	5.616	298.09	95.671	0	0	0.00	0	0	4390049	2,2,4,4,6,8,8-HEPTAMETHYLNONANE
91	2.737	4.309	278.78	54.436	0	0	0.00	0	0	3221612	2-METHYLOCTANE
96	2.650	4.142	277.61	54.043	0	0	0.00	0	0	1071267	2,2-DIMETHYLHEPTANE
102	1.720	2.371	286.41	22.204	0	0	0.00	0	0	287230	CYCLOBUTANE
104	1.900	2.714	292.11	28.147	0	0	0.00	0	0	287923	CYCLOPENTANE
105	1.935	2.782	302.24	33.796	0	0	0.00	0	0	96377	METHYLCYCLOPENTANE
107	2.142	3.175	302.22	39.759	0	0	0.00	0	0	1640897	ETHYLCYCLOPENTANE
111	1.971	2.850	312.02	39.564	0	0	0.00	0	0	2532583	cis-1,3-DIMETHYLCYCLOPENTANE
112	1.971	2.850	312.02	39.564	0	0	0.00	0	0	1759586	trans-1,3-DIMETHYLCYCLOPENTANE
137	2.080	3.057	296.88	34.125	0	0	0.00	0	0	110827	CYCLOHEXANE
138	2.115	3.125	305.96	39.870	0	0	0.00	0	0	108872	METHYLCYCLOHEXANE
147	2.151	3.192	314.74	45.711	0	0	0.00	0	0	2207047	trans-1,4-DIMETHYLCYCLOHEXANE
153	2.414	3.694	337.28	54.565	0	0	0.00	0	0	493016	cis-DECAHYDRONAPHTHALENE (RegSteps fails now…?)
154	2.414	3.694	337.28	54.565	0	0	0.00	0	0	493027	trans-DECAHYDRONAPHTHALENE
159	2.260	3.400	300.88	40.127	0	0	0.00	0	0	291645	CYCLOHEPTANE
160	2.440	3.743	304.26	46.146	0	0	0.00	0	0	292648	CYCLOOCTANE
204	1.570	2.085	287.45	23.394	0	0	0.00	0	0	106989	1-BUTENE
205	1.497	1.946	303.49	23.727	0	0	0.00	0	0	590181	cis-2-BUTENE
206	1.497	1.946	303.49	23.727	0	0	0.00	0	0	624646	trans-2-BUTENE
207	1.569	2.084	283.72	23.152	0	0	0.00	0	0	115117	ISOBUTENE
209	1.776	2.479	288.83	29.527	0	0	0.00	0	0	109671	1-PENTENE
210	1.703	2.339	302.50	29.880	0	0	0.00	0	0	627203	cis-2-PENTENE
211	1.703	2.339	302.50	29.880	0	0	0.00	0	0	646048	trans-2-PENTENE
212	1.776	2.477	285.56	29.313	0	0	0.00	0	0	563462	2-METHYL-1-BUTENE
213	1.611	2.164	298.87	28.996	0	0	0.00	0	0	563451	3-METHYL-1-BUTENE
214	1.847	2.614	280.68	29.422	0	0	0.00	0	0	513359	2-METHYL-2-BUTENE
216	1.983	2.872	290.28	35.595	0	0	0.00	0	0	592416	1-HEXENE
223	1.817	2.557	298.86	35.223	0	0	0.00	0	0	691372	4-METHYL-1-PENTENE
234	2.190	3.266	291.60	41.626	0	0	0.00	0	0	592767	1-HEPTENE
250	2.396	3.660	292.75	47.634	0	0	0.00	0	0	111660	1-OCTENE
259	2.603	4.053	293.75	53.626	0	0	0.00	0	0	124118	1-NONENE
260	2.809	4.447	294.62	59.607	0	0	0.00	0	0	872059	1-DECENE
262	3.223	5.234	296.03	71.545	0	0	0.00	0	0	112414	1-DODECENE
403	1.603	2.148	290.19	26.080	0	0	0.00	0	0	107006	ETHYLACETYLENE
405	1.809	2.541	291.29	32.267	0	0	0.00	0	0	627190	1-PENTYNE
501	1.656	2.249	348.72	30.205	0	0	0.00	0	0	71432	BENZENE
502	1.963	2.834	330.93	36.124	0	0	0.00	0	0	108883	TOLUENE
503	2.549	3.950	327.08	49.820	0	0	0.00	0	0	767588	1-METHYLINDAN
504	2.133	3.158	332.52	42.137	0	0	0.00	0	0	100414	ETHYLBENZENE
505	2.270	3.419	319.18	41.964	0	0	0.00	0	0	95476	o-XYLENE
506	2.270	3.419	319.18	41.964	0	0	0.00	0	0	108383	m-XYLENE
507	2.270	3.419	319.18	41.964	0	0	0.00	0	0	106423	p-XYLENE
508	2.641	4.126	330.23	50.222	0	0	0.00	0	0	874351	5-METHYLINDAN
509	2.340	3.552	329.44	48.063	0	0	0.00	0	0	103651	n-PROPYLBENZENE
510	2.348	3.568	317.73	47.454	0	0	0.00	0	0	98828	CUMENE
513	2.440	3.743	321.58	47.965	0	0	0.00	0	0	622968	p-ETHYLTOLUENE
514	2.577	4.004	310.85	47.760	0	0	0.00	0	0	526738	1,2,3-TRIMETHYLBENZENE
515	2.577	4.004	310.85	47.760	0	0	0.00	0	0	95636	1,2,4-TRIMETHYLBENZENE
516	2.577	4.004	310.85	47.760	0	0	0.00	0	0	108678	MESITYLENE
518	2.546	3.945	326.98	53.991	0	0	0.00	0	0	104518	n-BUTYLBENZENE
519	2.381	3.630	336.14	53.971	0	0	0.00	0	0	538932	ISOBUTYLBENZENE
520	2.555	3.961	316.40	53.391	0	0	0.00	0	0	135988	sec-BUTYLBENZENE
524	2.655	4.153	309.90	53.279	0	0	0.00	0	0	99876	p-CYMENE
527	2.611	4.068	323.63	53.986	0	0	0.00	0	0	105055	p-DIETHYLBENZENE
532	2.884	4.589	304.63	53.529	0	0	0.00	0	0	95932	1,2,4,5-TETRAMETHYLBENZENE
558	3.927	6.575	290.26	56.410	0	0	0.00	0	0	92524	BIPHENYL
559	6.198	10.902	278.09	81.563	0	0	0.00	0	0	92944	p-TERPHENYL
560	6.198	10.902	278.09	81.563	0	0	0.00	0	0	92068	m-TERPHENYL
561	6.198	10.902	278.09	81.563	0	0	0.00	0	0	84151	o-TERPHENYL
563	3.368	5.511	324.90	63.362	0	0	0.00	0	0	101815	DIPHENYLMETHANE
601	2.598	4.045	299.26	40.216	0	0	0.00	0	0	100425	STYRENE
701	3.708	6.159	278.62	46.069	0	0	0.00	0	0	91203	NAPHTHALENE
702	4.016	6.744	277.14	51.700	0	0	0.00	0	0	90120	1-METHYLNAPHTHALENE
703	4.016	6.744	277.14	51.700	0	0	0.00	0	0	91576	2-METHYLNAPHTHALENE
706	2.514	3.883	341.30	50.432	0	0	0.00	0	0	119642	1,2,3,4-TETRAHYDRONAPHTHALENE
715	4.323	7.329	275.91	57.341	0	0	0.00	0	0	582161	2,7-DIMETHYLNAPHTHALENE
804	5.761	10.069	262.72	61.007	0	0	0.00	0	0	120127	ANTHRACENE
805	5.761	10.069	262.72	61.007	0	0	0.00	0	0	85018	PHENANTHRENE
814	2.263	3.405	368.99	62.436	0	0	0.00	0	0	702794	1,3-DIMETHYLADAMANTANE
820	2.334	3.541	341.39	44.449	0	0	0.00	0	0	496117	INDANE
1003	1.678	2.292	313.38	23.042	1	0.00057	1.25	1	1	123386	PROPANAL
1005	1.885	2.685	311.90	28.841	1	0.00064	1.25	1	1	123728	BUTANAL
1052	2.244	3.369	278.21	28.062	0	0	0.00	0	0	78933	METHYL ETHYL KETONE
1053	2.451	3.763	280.64	33.792	0	0	0.00	0	0	96220	3-PENTANONE
1054	2.492	3.841	287.77	39.446	0	0	0.00	0	0	108101	METHYL ISOBUTYL KETONE
1059	2.657	4.156	282.69	39.565	0	0	0.00	0	0	589388	3-HEXANONE
1060	2.451	3.763	280.64	33.792	0	0	0.00	0	0	107879	2-PENTANONE
1062	2.657	4.156	282.69	39.565	0	0	0.00	0	0	591786	2-HEXANONE
