252
20001	0.0039	0 0 0 0 0 0.3
30001	0.0074	0 0 0 0 0 0.3
30002	-0.0027	0 0 0 0 0 0.3
50001	0.0148	0 0 0 0 0 0.3
80003	0.0495	0 0 0 0 0 0.3
110001	0.0483	0 0 0 0 0 0.3
170001	0.0429	0 0 0 0 0 0.3
170002	0.0048	0 0 0 0 0 0.3
560001	0.025	0 0 0 0 0 0.3
770001	-0.079	0 0 0 0 0 0.3
1370011	-0.0098	0 0 0 0 0 0.3
1380137	-0.0085	0 0 0 0 0 0.3
5010017	0.0006	0 0 0 0 0 0.3
5010137	0.0166	0 0 0 0 0 0.3
5020501	-0.0049	0 0 0 0 0 0.3
9050001	0.0496	0 0 0 0 0 0.3
9050002	0.0479	0 0 0 0 0 0.3
9050007	0.1302	0 0 0 0 0 0.3
9050056	0.1746	0 0 0 0 0 0.3
9090001	0.1014	0 0 0 0 0 0.3
9090002	0.1321	0 0 0 0 0 0.3
9090003	0.1287	0 0 0 0 0 0.3
9090005	0.1314	0 0 0 0 0 0.3
9090056	0.1127	0 0 0 0 0 0.3
9090104	0.1417	0 0 0 0 0 0.3
9090201	0.0507	0 0 0 0 0 0.3
9090502	0.1124	0 0 0 0 0 0.3
9090901	0.1335	0 0 0 0 0 0.3
9090905	0.0027	0 0 0 0 0 0.3
9090908	-0.0261	0 0 0 0 0 0.3
9140001	0.0248	0 0 0 0 0 0.3
9590201	0.0324	0 0 0 0 0 0.3
10510007	0.0961	0 0 0 0 0 0.3
10510011	0.1004	0 0 0 0 0 0.3
10510137	0.1112	0 0 0 0 0 0.3
10510501	0.0249	0 0 0 0 0 0.3
10520011	0.0755	0 0 0 0 0 0.3
10520501	0.0029	0 0 0 0 0 0.3
10710501	-0.0013	0 0 0 0 0 0.3
11010002	0.0434	0 0 0 0 0 0.3
11010003	0.0501	0 0 0 0 0 0.3
11010011	0.0393	0 0 0 0 0 0.3
11010501	0.0937	0 0 0 0 0 0.3
11010908	-0.1855	0 0 0 0 0 0.3
11010909	0.0544	0 0 0 0 0 0.3
11011051	0.0028	0 0 0 0 0 0.3
11020017	0.0444	0 0 0 0 0 0.3
11020501	0.0814	0 0 0 0 0 0.3
11020909	0.0843	0 0 0 0 0 0.3
11021051	0.0215	0 0 0 0 0 0.3
11021052	0.0173	0 0 0 0 0 0.3
11021101	-0.0043	0 0 0 0 0 0.3
11030002	0.069	0 0 0 0 0 0.3
11030011	0.0532	0 0 0 0 0 0.3
11030501	0.0715	0 0 0 0 0 0.3
11040041	0.0577	0 0 0 0 0 0.3
11051101	-0.0171	0 0 0 0 0 0.3
11060909	0.1299	0 0 0 0 0 0.3
11070137	0.079	0 0 0 0 0 0.3
11081105	-0.0557	0 0 0 0 0 0.3
11090909	0.1376	0 0 0 0 0 0.3
11231101	-0.0115	0 0 0 0 0 0.3
11231102	-0.008	0 0 0 0 0 0.3
13011101	0.0531	0 0 0 0 0 0.3
13021102	0.0543	0 0 0 0 0 0.3
13130502	0.0162	0 0 0 0 0 0.3
13130909	-0.1062	0 0 0 0 0 0.3
13131101	0.0108	0 0 0 0 0 0.3
13131102	0.0259	0 0 0 0 0 0.3
13151101	0.0039	0 0 0 0 0 0.3
14010909	-0.029	0 0 0 0 0 0.3
14010910	-0.2731	0 0 0 0 0 0.3
